hitid,workerid,raw_json
66dd0fe39bfb33794b562bc9,644b8b2b8ab902554e307f27,"{'0': {'PageLoad': '2024-09-09T15:20:24.546Z'}, '1': {'FluencyInput': []}, '2': {'HideTime': 0}, '3': 'absent', '4': {'How Creative?': '50', 'Increased AI use makes you feel': 'Equally excited and concerned'}, '5': {'PageLoad': '2024-09-09T15:22:23.986Z'}, '6': {'Round': 'practice', 'Prompt': 'blue', 'onTime': True, 'Response': 'black'}, '7': {'Round': 'practice', 'Prompt': 'cart', 'onTime': True, 'Response': 'cart'}, '8': {'Round': 'practice', 'Prompt': 'bank', 'onTime': True, 'Response': 'bank'}, '9': {'Round': 'test', 'Prompt': 'pit', 'onTime': True, 'Response': 'tree'}, '10': {'Round': 'test', 'Prompt': 'day', 'onTime': True, 'Response': 'day'}, '11': {'HideTime': 0}, '12': {'q1': 'Somewhat difficult', 'q2': 'Equally excited and concerned', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'picking a single word and finding associated words and then checking if they fit with the others ', 'q7': 'no ', 'sliderValue': '50'}, '13': {'q1': 'Somewhat difficult', 'q2': 'Equally excited and concerned', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'picking a single word and finding associated words and then checking if they fit with the others ', 'q7': 'no ', 'sliderValue': '50'}, '14': {'q1': 'Somewhat difficult', 'q2': 'Equally excited and concerned', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'picking a single word and finding associated words and then checking if they fit with the others ', 'q7': 'no ', 'sliderValue': '50'}, '15': {'q1': 'Somewhat difficult', 'q2': 'Equally excited and concerned', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'picking a single word and finding associated words and then checking if they fit with the others ', 'q7': 'no ', 'sliderValue': '50'}, '16': {'q1': 'Somewhat difficult', 'q2': 'Equally excited and concerned', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'picking a single word and finding associated words and then checking if they fit with the others ', 'q7': 'no ', 'sliderValue': '50'}, '17': {'q1': 'Somewhat difficult', 'q2': 'Equally excited and concerned', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'picking a single word and finding associated words and then checking if they fit with the others ', 'q7': 'no ', 'sliderValue': '50'}, '18': {'q1': 'Somewhat difficult', 'q2': 'Equally excited and concerned', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'picking a single word and finding associated words and then checking if they fit with the others ', 'q7': 'no ', 'sliderValue': '50'}, '19': {'q1': 'Somewhat difficult', 'q2': 'Equally excited and concerned', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'picking a single word and finding associated words and then checking if they fit with the others ', 'q7': 'no ', 'sliderValue': '50'}, 'hitId': '66dd0fe39bfb33794b562bc9', 'feedback': {'q1': 'Somewhat difficult', 'q2': 'Equally excited and concerned', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'picking a single word and finding associated words and then checking if they fit with the others ', 'q7': 'no ', 'sliderValue': '50'}, 'workerId': '644b8b2b8ab902554e307f27', 'assignmentId': '66df11686a4730c9f416f7cf', 'ts_submitted_': '2024-09-09T15:28:59.877Z'}"
66dd0fe39bfb33794b562bc9,644b8b2b8ab902554e307f27,"{'0': {'PageLoad': '2024-09-09T15:20:24.546Z'}, '1': {'FluencyInput': []}, '2': {'HideTime': 0}, '3': 'absent', '4': {'How Creative?': '50', 'Increased AI use makes you feel': 'Equally excited and concerned'}, '5': {'PageLoad': '2024-09-09T15:22:23.986Z'}, '6': {'Round': 'practice', 'Prompt': 'blue', 'onTime': True, 'Response': 'black'}, '7': {'Round': 'practice', 'Prompt': 'cart', 'onTime': True, 'Response': 'cart'}, '8': {'Round': 'practice', 'Prompt': 'bank', 'onTime': True, 'Response': 'bank'}, '9': {'Round': 'test', 'Prompt': 'pit', 'onTime': True, 'Response': 'tree'}, '10': {'Round': 'test', 'Prompt': 'day', 'onTime': True, 'Response': 'day'}, '11': {'HideTime': 0}, '12': {'q1': 'Somewhat difficult', 'q2': 'Equally excited and concerned', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'picking a single word and finding associated words and then checking if they fit with the others ', 'q7': 'no ', 'sliderValue': '50'}, '13': {'q1': 'Somewhat difficult', 'q2': 'Equally excited and concerned', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'picking a single word and finding associated words and then checking if they fit with the others ', 'q7': 'no ', 'sliderValue': '50'}, '14': {'q1': 'Somewhat difficult', 'q2': 'Equally excited and concerned', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'picking a single word and finding associated words and then checking if they fit with the others ', 'q7': 'no ', 'sliderValue': '50'}, '15': {'q1': 'Somewhat difficult', 'q2': 'Equally excited and concerned', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'picking a single word and finding associated words and then checking if they fit with the others ', 'q7': 'no ', 'sliderValue': '50'}, '16': {'q1': 'Somewhat difficult', 'q2': 'Equally excited and concerned', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'picking a single word and finding associated words and then checking if they fit with the others ', 'q7': 'no ', 'sliderValue': '50'}, '17': {'q1': 'Somewhat difficult', 'q2': 'Equally excited and concerned', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'picking a single word and finding associated words and then checking if they fit with the others ', 'q7': 'no ', 'sliderValue': '50'}, '18': {'q1': 'Somewhat difficult', 'q2': 'Equally excited and concerned', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'picking a single word and finding associated words and then checking if they fit with the others ', 'q7': 'no ', 'sliderValue': '50'}, '19': {'q1': 'Somewhat difficult', 'q2': 'Equally excited and concerned', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'picking a single word and finding associated words and then checking if they fit with the others ', 'q7': 'no ', 'sliderValue': '50'}, '20': {'q1': 'Somewhat difficult', 'q2': 'Equally excited and concerned', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'picking a single word and finding associated words and then checking if they fit with the others ', 'q7': 'no ', 'sliderValue': '50'}, '21': {'q1': 'Somewhat difficult', 'q2': 'Equally excited and concerned', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'picking a single word and finding associated words and then checking if they fit with the others ', 'q7': 'no ', 'sliderValue': '50'}, 'hitId': '66dd0fe39bfb33794b562bc9', 'feedback': {'q1': 'Somewhat difficult', 'q2': 'Equally excited and concerned', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'picking a single word and finding associated words and then checking if they fit with the others ', 'q7': 'no ', 'sliderValue': '50'}, 'workerId': '644b8b2b8ab902554e307f27', 'assignmentId': '66df11686a4730c9f416f7cf', 'ts_submitted_': '2024-09-09T15:29:00.584Z'}"
66dd0fe39bfb33794b562bc9,6658d0969b9cd1a0f1a25c5d,"{'0': {'PageLoad': '2024-09-09T15:31:20.897Z'}, '1': {'FluencyInput': [{'id': 0, 'iid': 0, 'name': 'Flower', 'time': '2024-09-09T15:31:35.207Z'}, {'id': 1, 'iid': 1, 'name': 'Flag', 'time': '2024-09-09T15:31:41.237Z'}, {'id': 2, 'iid': 2, 'name': 'Fish', 'time': '2024-09-09T15:31:47.797Z'}, {'id': 3, 'iid': 3, 'name': 'Fat', 'time': '2024-09-09T15:31:49.954Z'}, {'id': 4, 'iid': 4, 'name': 'fly', 'time': '2024-09-09T15:31:56.593Z'}, {'id': 5, 'iid': 5, 'name': 'Fact', 'time': '2024-09-09T15:32:02.058Z'}, {'id': 6, 'iid': 6, 'name': 'Fist', 'time': '2024-09-09T15:32:06.699Z'}, {'id': 7, 'iid': 7, 'name': 'Fall', 'time': '2024-09-09T15:32:09.710Z'}, {'id': 8, 'iid': 8, 'name': 'Few', 'time': '2024-09-09T15:32:12.143Z'}, {'id': 9, 'iid': 9, 'name': 'Fast', 'time': '2024-09-09T15:32:19.005Z'}]}, '2': {'HideTime': 0}, '3': 'absent', '4': {'How Creative?': '75', 'Increased AI use makes you feel': 'More concerned than excited'}, '5': {'PageLoad': '2024-09-09T15:35:40.282Z'}, '6': {'Round': 'practice', 'Prompt': 'door', 'onTime': True, 'Response': 'Flat'}, '7': {'Round': 'practice', 'Prompt': 'coat', 'onTime': True, 'Response': 'Black'}, '8': {'Round': 'practice', 'Prompt': 'hole', 'onTime': True, 'Response': 'trick'}, '9': {'Round': 'test', 'Prompt': 'horn', 'onTime': True, 'Response': 'sole'}, '10': {'Round': 'test', 'Prompt': 'cart', 'onTime': True, 'Response': 'cart'}, '11': {'HideTime': 0}, 'hitId': '66dd0fe39bfb33794b562bc9', 'feedback': {'q1': 'Somewhat difficult', 'q2': 'More concerned than excited', 'q3': 'Agree', 'q4': 'Very helpful', 'q6': 'Thinking of items related to the words.', 'q7': 'No', 'sliderValue': '78'}, 'workerId': '6658d0969b9cd1a0f1a25c5d', 'assignmentId': '66df1482c14c33de6e89ece6', 'ts_submitted_': '2024-09-09T15:42:27.834Z'}"
66dd0fe39bfb33794b562bc9,59f8719e8c95b80001362f88,"{'0': {'PageLoad': '2024-09-09T15:39:00.705Z'}, '1': {'FluencyInput': [{'id': 0, 'iid': 0, 'name': 'frog', 'time': '2024-09-09T15:39:09.374Z'}, {'id': 1, 'iid': 1, 'name': 'fickle', 'time': '2024-09-09T15:39:16.326Z'}, {'id': 2, 'iid': 2, 'name': 'fraud', 'time': '2024-09-09T15:39:23.461Z'}, {'id': 3, 'iid': 3, 'name': 'fine', 'time': '2024-09-09T15:39:29.181Z'}, {'id': 4, 'iid': 4, 'name': 'flip', 'time': '2024-09-09T15:39:36.934Z'}, {'id': 5, 'iid': 5, 'name': 'fun', 'time': '2024-09-09T15:39:41.221Z'}, {'id': 6, 'iid': 6, 'name': 'fantastic', 'time': '2024-09-09T15:39:52.429Z'}, {'id': 7, 'iid': 7, 'name': 'flimsy', 'time': '2024-09-09T15:39:58.469Z'}]}, '2': {'HideTime': 0}, '3': 'absent', '4': {'How Creative?': '33', 'Increased AI use makes you feel': 'More concerned than excited'}, '5': {'PageLoad': '2024-09-09T15:40:56.488Z'}, '6': {'Round': 'practice', 'Prompt': 'candle', 'onTime': True, 'Response': 'candle'}, '7': {'Round': 'practice', 'Prompt': 'snow', 'onTime': True, 'Response': 'corn'}, '8': {'Round': 'practice', 'Prompt': 'blue', 'onTime': True, 'Response': 'blue'}, '9': {'Round': 'test', 'Prompt': 'soap', 'onTime': True, 'Response': 'soap'}, '10': {'Round': 'test', 'Prompt': 'horn', 'onTime': True, 'Response': 'horn'}, '11': {'HideTime': 0}, 'hitId': '66dd0fe39bfb33794b562bc9', 'feedback': {'q1': 'Somewhat easy', 'q2': 'More concerned than excited', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'memory - english is my first language', 'q7': 'no technical issues', 'sliderValue': '33'}, 'workerId': '59f8719e8c95b80001362f88', 'assignmentId': '66df15796da02f4f27ca7bd4', 'ts_submitted_': '2024-09-09T15:46:27.595Z'}"
66dd0fe39bfb33794b562bc9,66cba302d70a26c630d75afc,"{'0': {'PageLoad': '2024-09-09T15:20:59.826Z'}, '1': {'FluencyInput': []}, '2': {'HideTime': 0}, '3': 'generate', '4': {'How Creative?': '76', 'Increased AI use makes you feel': 'More excited than concerned'}, '5': {'PageLoad': '2024-09-09T15:23:39.297Z'}, '6': {'Round': 'practice', 'Prompt': 'door', 'onTime': True, 'Response': 'door'}, '7': {'Round': 'practice', 'Prompt': 'band', 'onTime': True, 'Response': 'bandaid'}, '8': {'Round': 'practice', 'Prompt': 'saw', 'onTime': True, 'Response': 'fairy'}, '9': {'Round': 'test', 'Prompt': 'blood', 'onTime': True, 'Response': 'sound'}, '10': {'Round': 'test', 'Prompt': 'bar', 'onTime': True, 'Response': 'leaf'}, '11': {'HideTime': 0}, 'hitId': '66dd0fe39bfb33794b562bc9', 'feedback': {'q1': 'Somewhat difficult', 'q2': 'More excited than concerned', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'paniced ', 'q7': 'no i paniced', 'sliderValue': '76'}, 'workerId': '66cba302d70a26c630d75afc', 'assignmentId': '66df117bea1b260761956151', 'ts_submitted_': '2024-09-09T15:31:19.074Z'}"
66dd0fe39bfb33794b562bc9,5d08e3676f5dfc0019d57a4c,"{'0': {'PageLoad': '2024-09-09T15:14:22.508Z'}, '1': {'FluencyInput': []}, '2': {'HideTime': 0}, '3': 'absent', '4': {'How Creative?': '66', 'Increased AI use makes you feel': 'Equally excited and concerned'}, '5': {'PageLoad': '2024-09-09T15:15:59.391Z'}, '6': {'Round': 'practice', 'Prompt': 'hole', 'onTime': False, 'Response': 'hole'}, '7': {'Round': 'practice', 'Prompt': 'candle', 'onTime': False, 'Response': 'card'}, '8': {'Round': 'practice', 'Prompt': 'tree', 'onTime': False, 'Response': 'tree'}, '9': {'Round': 'test', 'Prompt': 'common', 'onTime': True, 'Response': 'common'}, '10': {'Round': 'test', 'Prompt': 'spider', 'onTime': False, 'Response': 'black'}, '11': {'HideTime': 0}, 'hitId': '66dd0fe39bfb33794b562bc9', 'feedback': {'q1': 'Somewhat difficult', 'q2': 'Equally excited and concerned', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'Only to think clearly.', 'q7': 'No', 'sliderValue': '66'}, 'workerId': '5d08e3676f5dfc0019d57a4c', 'assignmentId': '66df108fef0265a1165c5a05', 'ts_submitted_': '2024-09-09T15:22:23.445Z'}"
66dd0fe39bfb33794b562bc9,5ea6295c2c39b16355a6bbac,"{'0': {'PageLoad': '2024-09-09T15:08:19.571Z'}, '1': {'FluencyInput': [{'id': 0, 'iid': 0, 'name': 'fart', 'time': '2024-09-09T15:08:24.135Z'}, {'id': 1, 'iid': 1, 'name': 'fuck', 'time': '2024-09-09T15:08:27.131Z'}, {'id': 2, 'iid': 2, 'name': 'fantastic', 'time': '2024-09-09T15:08:30.721Z'}, {'id': 3, 'iid': 3, 'name': 'friendly', 'time': '2024-09-09T15:08:33.623Z'}, {'id': 4, 'iid': 4, 'name': 'furry', 'time': '2024-09-09T15:08:36.138Z'}, {'id': 5, 'iid': 5, 'name': 'fell', 'time': '2024-09-09T15:08:38.718Z'}, {'id': 6, 'iid': 6, 'name': 'fall', 'time': '2024-09-09T15:08:40.189Z'}, {'id': 7, 'iid': 7, 'name': 'feeling', 'time': '2024-09-09T15:08:44.338Z'}, {'id': 8, 'iid': 8, 'name': 'felled', 'time': '2024-09-09T15:08:47.801Z'}, {'id': 9, 'iid': 9, 'name': 'fat', 'time': '2024-09-09T15:08:49.776Z'}, {'id': 10, 'iid': 10, 'name': 'fit', 'time': '2024-09-09T15:08:51.717Z'}, {'id': 11, 'iid': 11, 'name': 'fur', 'time': '2024-09-09T15:08:54.883Z'}, {'id': 12, 'iid': 12, 'name': 'first', 'time': '2024-09-09T15:08:57.344Z'}, {'id': 13, 'iid': 13, 'name': 'flop', 'time': '2024-09-09T15:08:59.471Z'}, {'id': 14, 'iid': 14, 'name': 'flap', 'time': '2024-09-09T15:09:02.157Z'}, {'id': 15, 'iid': 15, 'name': 'film', 'time': '2024-09-09T15:09:12.085Z'}, {'id': 16, 'iid': 16, 'name': 'flimsy', 'time': '2024-09-09T15:09:16.971Z'}, {'id': 17, 'iid': 17, 'name': 'fan', 'time': '2024-09-09T15:09:19.258Z'}]}, '2': {'HideTime': 0}, '3': 'generate', '4': {'How Creative?': '50', 'Increased AI use makes you feel': 'More concerned than excited'}, '5': {'PageLoad': '2024-09-09T15:10:11.446Z'}, '6': {'Round': 'practice', 'Prompt': 'soap', 'onTime': True, 'Response': 'soap'}, '7': {'Round': 'practice', 'Prompt': 'tree', 'onTime': True, 'Response': 'tree'}, '8': {'Round': 'practice', 'Prompt': 'band', 'onTime': True, 'Response': 'band'}, '9': {'Round': 'test', 'Prompt': 'hole', 'onTime': True, 'Response': 'hole'}, '10': {'Round': 'test', 'Prompt': 'pit', 'onTime': True, 'Response': 'black'}, '11': {'HideTime': 0}, 'hitId': '66dd0fe39bfb33794b562bc9', 'feedback': {'q1': 'Very difficult', 'q2': 'More concerned than excited', 'q3': 'Agree', 'q4': 'Not at all helpful', 'q6': 'No strategy. It was hard. ', 'q7': 'No', 'sliderValue': '50'}, 'workerId': '5ea6295c2c39b16355a6bbac', 'assignmentId': '66df0f3a262162cf45fc529d', 'ts_submitted_': '2024-09-09T15:15:44.227Z'}"
66dd0fe39bfb33794b562bc9,65e74105c99a4ee078b66239,"{'0': {'PageLoad': '2024-09-09T15:15:14.884Z'}, '1': {'FluencyInput': [{'id': 0, 'iid': 0, 'name': 'fire', 'time': '2024-09-09T15:15:23.997Z'}, {'id': 1, 'iid': 1, 'name': 'flame', 'time': '2024-09-09T15:15:28.061Z'}, {'id': 2, 'iid': 2, 'name': 'flea', 'time': '2024-09-09T15:15:31.852Z'}, {'id': 3, 'iid': 3, 'name': 'finch', 'time': '2024-09-09T15:15:35.973Z'}, {'id': 4, 'iid': 4, 'name': 'forget', 'time': '2024-09-09T15:15:45.616Z'}, {'id': 5, 'iid': 5, 'name': 'forgive', 'time': '2024-09-09T15:15:48.759Z'}, {'id': 6, 'iid': 6, 'name': 'flick', 'time': '2024-09-09T15:15:51.871Z'}, {'id': 7, 'iid': 7, 'name': 'fast', 'time': '2024-09-09T15:15:59.214Z'}, {'id': 8, 'iid': 8, 'name': 'flinch', 'time': '2024-09-09T15:16:09.676Z'}, {'id': 9, 'iid': 9, 'name': 'finger', 'time': '2024-09-09T15:16:12.821Z'}]}, '2': {'HideTime': 0}, '3': 'generate', '4': {'How Creative?': '54', 'Increased AI use makes you feel': 'Equally excited and concerned'}, '5': {'PageLoad': '2024-09-09T15:17:04.167Z'}, '6': {'Round': 'practice', 'Prompt': 'brush', 'onTime': True, 'Response': 'brush'}, '7': {'Round': 'practice', 'Prompt': 'bar', 'onTime': True, 'Response': 'bar'}, '8': {'Round': 'practice', 'Prompt': 'long', 'onTime': True, 'Response': 'long'}, '9': {'Round': 'test', 'Prompt': 'street', 'onTime': True, 'Response': 'street'}, '10': {'Round': 'test', 'Prompt': 'gold', 'onTime': True, 'Response': 'coal'}, '11': {'HideTime': 0}, 'hitId': '66dd0fe39bfb33794b562bc9', 'feedback': {'q1': 'Somewhat difficult', 'q2': 'Equally excited and concerned', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'No particular strategy.', 'q7': 'No.', 'sliderValue': '54'}, 'workerId': '65e74105c99a4ee078b66239', 'assignmentId': '66df10e7c24d43d776ede3fa', 'ts_submitted_': '2024-09-09T15:23:04.971Z'}"
66dd0fe39bfb33794b562bc9,637d85be238af853da68922d,"{'0': {'PageLoad': '2024-09-09T15:07:53.190Z'}, '1': {'FluencyInput': []}, '2': {'HideTime': 0}, '3': 'generate', '4': {'How Creative?': '70', 'Increased AI use makes you feel': 'More concerned than excited'}, '5': {'PageLoad': '2024-09-09T15:09:52.693Z'}, '6': {'Round': 'practice', 'Prompt': 'spider', 'onTime': True, 'Response': 'Spider'}, '7': {'Round': 'practice', 'Prompt': 'blood', 'onTime': True, 'Response': 'Blood'}, '8': {'Round': 'practice', 'Prompt': 'hole', 'onTime': True, 'Response': 'Little'}, '9': {'Round': 'test', 'Prompt': 'saw', 'onTime': True, 'Response': 'Wood'}, '10': {'Round': 'test', 'Prompt': 'soap', 'onTime': True, 'Response': 'Soap'}, '11': {'HideTime': 0}, 'hitId': '66dd0fe39bfb33794b562bc9', 'feedback': {'q1': 'Somewhat easy', 'q2': 'More concerned than excited', 'q3': 'Agree', 'q4': 'Very helpful', 'q6': 'I used the easiest word of the 3 and tried to match it with other words then looked if it fits the other 2', 'q7': 'None at all', 'sliderValue': '70'}, 'workerId': '637d85be238af853da68922d', 'assignmentId': '66df0f2506a1cfaa3b372cab', 'ts_submitted_': '2024-09-09T15:16:11.517Z'}"
66dd0fe39bfb33794b562bc9,5eebc973f2c6c41483ba6e81,"{'0': {'PageLoad': '2024-09-09T15:09:02.611Z'}, '1': {'FluencyInput': [{'id': 0, 'iid': 0, 'name': 'fish ', 'time': '2024-09-09T15:09:10.884Z'}, {'id': 1, 'iid': 1, 'name': 'friend ', 'time': '2024-09-09T15:09:13.123Z'}, {'id': 2, 'iid': 2, 'name': 'food ', 'time': '2024-09-09T15:09:15.313Z'}, {'id': 3, 'iid': 3, 'name': 'feind ', 'time': '2024-09-09T15:09:18.114Z'}, {'id': 4, 'iid': 4, 'name': 'fruit ', 'time': '2024-09-09T15:09:20.612Z'}, {'id': 5, 'iid': 5, 'name': 'freak ', 'time': '2024-09-09T15:09:23.137Z'}, {'id': 6, 'iid': 6, 'name': 'feed ', 'time': '2024-09-09T15:09:25.255Z'}, {'id': 7, 'iid': 7, 'name': 'flea ', 'time': '2024-09-09T15:09:28.575Z'}, {'id': 8, 'iid': 8, 'name': 'flick ', 'time': '2024-09-09T15:09:30.167Z'}, {'id': 9, 'iid': 9, 'name': 'feel', 'time': '2024-09-09T15:09:37.571Z'}, {'id': 10, 'iid': 10, 'name': 'foal', 'time': '2024-09-09T15:09:41.066Z'}, {'id': 11, 'iid': 11, 'name': 'fool', 'time': '2024-09-09T15:09:48.048Z'}, {'id': 12, 'iid': 12, 'name': 'fill', 'time': '2024-09-09T15:09:51.780Z'}, {'id': 13, 'iid': 13, 'name': 'freed', 'time': '2024-09-09T15:09:55.542Z'}]}, '2': {'HideTime': 0}, '3': 'coach', '4': {'How Creative?': '68', 'Increased AI use makes you feel': 'More concerned than excited'}, '5': {'PageLoad': '2024-09-09T15:10:39.169Z'}, '6': {'Round': 'practice', 'Prompt': 'turn', 'onTime': True, 'Response': 'red'}, '7': {'Round': 'practice', 'Prompt': 'coat', 'onTime': True, 'Response': 'coat'}, '8': {'Round': 'practice', 'Prompt': 'space', 'onTime': True, 'Response': 'cruise'}, '9': {'Round': 'test', 'Prompt': 'ball', 'onTime': True, 'Response': 'fall'}, '10': {'Round': 'test', 'Prompt': 'day', 'onTime': True, 'Response': 'shade'}, '11': {'HideTime': 0}, 'hitId': '66dd0fe39bfb33794b562bc9', 'feedback': {'q1': 'Somewhat difficult', 'q2': 'More concerned than excited', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'repeating words in my head and outloud trying to find one that fit all the three words ', 'q7': 'no', 'sliderValue': '40'}, 'workerId': '5eebc973f2c6c41483ba6e81', 'assignmentId': '66df0f53ace67816a66f7872', 'ts_submitted_': '2024-09-09T15:16:29.291Z'}"
