workerid,hitId,condition,How Creative?-1,Increased AI use makes you feel-1,q1,q2,q3,q4,Hide Time,Page Load,q6,q7,How Creative?-2
644b8b2b8ab902554e307f27,66dd0fe39bfb33794b562bc9,absent,50,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:20:24.546Z,picking a single word and finding associated words and then checking if they fit with the others,no,50
644b8b2b8ab902554e307f27,66dd0fe39bfb33794b562bc9,absent,50,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:20:24.546Z,picking a single word and finding associated words and then checking if they fit with the others,no,50
6658d0969b9cd1a0f1a25c5d,66dd0fe39bfb33794b562bc9,absent,75,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,Very helpful,0,2024-09-09T15:31:20.897Z,Thinking of items related to the words.,No,78
59f8719e8c95b80001362f88,66dd0fe39bfb33794b562bc9,absent,33,More concerned than excited,Somewhat easy,More concerned than excited,Agree,A little helpful,0,2024-09-09T15:39:00.705Z,memory - english is my first language,no technical issues,33
66cba302d70a26c630d75afc,66dd0fe39bfb33794b562bc9,generate,76,More excited than concerned,Somewhat difficult,More excited than concerned,Agree,A little helpful,0,2024-09-09T15:20:59.826Z,paniced,no i paniced,76
5d08e3676f5dfc0019d57a4c,66dd0fe39bfb33794b562bc9,absent,66,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:14:22.508Z,Only to think clearly.,No,66
5ea6295c2c39b16355a6bbac,66dd0fe39bfb33794b562bc9,generate,50,More concerned than excited,Very difficult,More concerned than excited,Agree,Not at all helpful,0,2024-09-09T15:08:19.571Z,No strategy. It was hard.,No,50
65e74105c99a4ee078b66239,66dd0fe39bfb33794b562bc9,generate,54,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:15:14.884Z,No particular strategy.,No.,54
637d85be238af853da68922d,66dd0fe39bfb33794b562bc9,generate,70,More concerned than excited,Somewhat easy,More concerned than excited,Agree,Very helpful,0,2024-09-09T15:07:53.190Z,I used the easiest word of the 3 and tried to match it with other words then looked if it fits the other 2,None at all,70
5eebc973f2c6c41483ba6e81,66dd0fe39bfb33794b562bc9,coach,68,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,A little helpful,0,2024-09-09T15:09:02.611Z,repeating words in my head and outloud trying to find one that fit all the three words,no,40
66912a898e38868795e81c58,66dd0fe39bfb33794b562bc9,coach,60,Equally excited and concerned,Somewhat easy,Equally excited and concerned,Agree,Very helpful,0,2024-09-09T15:09:11.408Z,I associated something with the first word of the three and saw if it fit with the other two,No,60
5b3533616d601d0001d65110,66dd0fe39bfb33794b562bc9,generate,54,More concerned than excited,Very easy,More concerned than excited,Disagree,Not at all helpful,0,2024-09-09T15:09:38.975Z,was too easy,no,57
5cd17030a683940001a685e9,66dd0fe39bfb33794b562bc9,generate,65,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,Not at all helpful,0,2024-09-09T15:09:38.059Z,"no strategy, just trying to think of related words",no,18
6659c2208d48365d43ec3a11,66dd0fe39bfb33794b562bc9,absent,60,More concerned than excited,Somewhat easy,More concerned than excited,Agree,Not at all helpful,0,2024-09-09T15:08:59.090Z,I would pick a word to focus on and think of words that relate to that one. Then I would try out that word with the other two to see if they made sense.,"Wasn't allowed to press ""continue"" on the practice round so had to sit for the full minute",65
57811ce809fb910001335702,66dd0fe39bfb33794b562bc9,absent,50,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:08:19.319Z,Trying to think of words that could be potentially connected,No,39
5d45521afdaaad00010ec185,66dd0fe39bfb33794b562bc9,generate,66,More concerned than excited,Very easy,More concerned than excited,Agree,Very helpful,0,2024-09-09T15:09:05.701Z,To think of words that worked for one word and see if they applied to the other two.,no,39
5c8ba4994fafad0017d758ce,66dd0fe39bfb33794b562bc9,coach,50,More concerned than excited,Very easy,More concerned than excited,Agree,Not at all helpful,0,2024-09-09T15:09:53.364Z,"I read through all of the words and thought of a word that could be connected to the first one, then tried it with the second and so forth.",Nope,50
6108f502ec4a82fd734d6e50,66dd0fe39bfb33794b562bc9,generate,51,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:08:48.256Z,Think of words for 2 of the listed words and see if the 3rd one fit.,No,50
5b27b81293707800011eabdd,66dd0fe39bfb33794b562bc9,generate,10,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,A little helpful,0,2024-09-09T15:15:21.640Z,I didn't have a strategy.,No,6
6108f502ec4a82fd734d6e50,66dd0fe39bfb33794b562bc9,generate,51,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:08:48.256Z,Think of words for 2 of the listed words and see if the 3rd one fit.,No,50
6649daae5ae7bacf511c2e7c,66dd0fe39bfb33794b562bc9,generate,70,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,Not at all helpful,0,2024-09-09T15:11:13.557Z,systematically working through various ways in which they could be connected,no,54
5cefd79bc37f4f0018de98da,66dd0fe39bfb33794b562bc9,absent,70,More concerned than excited,Very easy,More concerned than excited,Agree,Very helpful,0,2024-09-09T15:12:07.059Z,i thought about words that would fit,no,70
59e73321be399f0001e49cdf,66dd0fe39bfb33794b562bc9,generate,30,More concerned than excited,Very easy,More concerned than excited,Agree,Not at all helpful,0,2024-09-09T15:09:13.008Z,I just wrote what first came to mind,No,30
60eded1cf95926da043a773b,66dd0fe39bfb33794b562bc9,absent,61,More excited than concerned,Very easy,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:11:35.201Z,"No strategy in particular, just thinking of the first word that came into my head when considering one of the words and seeing if it linked to the others",no,61
5cfde288bab656000198b943,66dd0fe39bfb33794b562bc9,generate,25,More concerned than excited,Very easy,More concerned than excited,Agree,A little helpful,0,2024-09-09T15:19:12.858Z,"I didn't have a strategy, it was more accumulated knowledge of word pairs",no,25
5922fd354d88c800013cb29b,66dd0fe39bfb33794b562bc9,absent,60,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:10:38.067Z,I was using the most obscure word that I knew wouldn't have too many words that could fir in front of at the end of it.,No,50
5f75aacba1d577239cf27ccb,66dd0fe39bfb33794b562bc9,generate,70,Equally excited and concerned,Very difficult,Equally excited and concerned,Agree,Not at all helpful,0,2024-09-09T15:08:58.798Z,just was running different common word combinations in my head and testing them against the other words,no,70
5f311b9dfb351921a705036f,66dd0fe39bfb33794b562bc9,absent,10,Equally excited and concerned,Very difficult,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:10:31.758Z,I had no strategy. I simply tried to think of words that they had in common. I could usually think of two matches but not three.,No.,10
59b8557d59f3df0001e0894e,66dd0fe39bfb33794b562bc9,coach,45,More excited than concerned,Very difficult,More excited than concerned,Agree,Very helpful,0,2024-09-09T15:11:07.930Z,None i found the first set really difficult and I had to guess many times!,None,11
651ab5a02f56abaac122a44d,66dd0fe39bfb33794b562bc9,absent,60,Equally excited and concerned,Somewhat easy,Equally excited and concerned,Agree,Not at all helpful,0,2024-09-09T15:11:39.020Z,"the first one was striaghtforward and seemed to have an obvious right answer
the second one I struggled to find something that fit with all three but went with one that worked for two of the words",only that the snake game kept restarting,61
5c7671c7c872f3001446f1e5,66dd0fe39bfb33794b562bc9,generate,31,More concerned than excited,Somewhat easy,More concerned than excited,Agree,A little helpful,0,2024-09-09T15:12:42.313Z,"First one was easy, the second one I associated words with the second word and then my first thought fit with the other words.","Yes, I had to wait for the practice round timer to end each time.",31
5f37e49dbfbc4529289bb538,66dd0fe39bfb33794b562bc9,absent,40,Equally excited and concerned,Somewhat easy,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:10:59.225Z,"Using my brain and just selecting one word, adding a prefix/suffix and seeing if it could also be mapped onto the other two",No,40
630382e1437566a48f78a56f,66dd0fe39bfb33794b562bc9,coach,65,More excited than concerned,Somewhat difficult,More excited than concerned,Agree,Very helpful,0,2024-09-09T15:12:13.248Z,thinking of a word to fit with the other 3 words,none,78
65ad066efb7c071ca1895ca1,66dd0fe39bfb33794b562bc9,coach,25,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,A little helpful,0,2024-09-09T15:10:32.915Z,"Think about one word and make associations, then see if it matched the other words. Then continue to do this for the other two words. Gold stumped me.",No,14
577e3a5025cb71000128727e,66dd0fe39bfb33794b562bc9,coach,60,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:09:51.604Z,tried to use some logic,no,51
5f10da001b822c2988fbdb89,66dd0fe39bfb33794b562bc9,coach,0,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,Not at all helpful,0,2024-09-09T15:16:29.297Z,I didn't have one,None,0
6658d66a5e45cac0aaeb54de,66dd0fe39bfb33794b562bc9,generate,38,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:11:26.587Z,"I just thought of words I knew including the words provided, then matched them up.",No,38
5f69c3f4ab3d0d026b25ae23,66dd0fe39bfb33794b562bc9,generate,47,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,Very helpful,0,2024-09-09T15:10:08.069Z,just to brain storm,no,41
5eac0b9a3617310432c834a1,66dd0fe39bfb33794b562bc9,absent,50,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,Very helpful,0,2024-09-09T15:11:32.394Z,Trying to visual see the objects and connect theem,No,58
60bb9dd521d84c33662850ae,66dd0fe39bfb33794b562bc9,absent,50,Equally excited and concerned,Very easy,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:10:40.431Z,Thought logically.,No,56
6658f73b1e17e6eedae554ed,66dd0fe39bfb33794b562bc9,coach,51,More excited than concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:13:40.355Z,"I was just thinking what could be linked to them, didn't have any specific strategy",none,50
6118e529e663bd089370c2b0,66dd0fe39bfb33794b562bc9,absent,40,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,A little helpful,0,2024-09-09T15:11:05.044Z,Take one word and just used whatever word that came into my head and then checked it against the other words to see if it worked,No,15
5ceeb55cd902a40001532561,66dd0fe39bfb33794b562bc9,coach,60,More concerned than excited,Very difficult,More concerned than excited,Agree,Very helpful,0,2024-09-09T15:10:36.329Z,I was trying to think of common phrases that I know,no,57
6361bfe81e0da4a406b33f1e,66dd0fe39bfb33794b562bc9,coach,75,Equally excited and concerned,Somewhat easy,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:10:53.729Z,I think I tried to find a word for the first one then just see if it fitted with the others in any way.,No,75
57f38232a12559000165c19a,66dd0fe39bfb33794b562bc9,absent,70,Equally excited and concerned,Very easy,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:13:27.776Z,Thinking about it!,No.,70
5f13141f9b4f8216be9d1ec3,66dd0fe39bfb33794b562bc9,generate,60,Equally excited and concerned,Very easy,Equally excited and concerned,Agree,Not at all helpful,0,2024-09-09T15:12:52.117Z,just to focus,nope,55
5b22b42b38fc0c0001313829,66dd0fe39bfb33794b562bc9,absent,25,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:11:20.018Z,"I first tried to come up with a word for the first word for example for the bank one I tired to think what else could go with note, after settling on 'bank' I confirmed that it fit the other words and it did perfectly.",N/A,10
66840f135d4fce807b86ee00,66dd0fe39bfb33794b562bc9,absent,59,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,A little helpful,0,2024-09-09T15:13:03.175Z,To think of words that fit,No,59
60dc84c1e594bb1151e400a6,66dd0fe39bfb33794b562bc9,coach,60,More excited than concerned,Very easy,More excited than concerned,Agree,A little helpful,0,2024-09-09T15:13:47.470Z,The first thing that came to mind!,No,60
5edd5b6d419dc20c161b4e9e,66dd0fe39bfb33794b562bc9,generate,36,Equally excited and concerned,Somewhat easy,Equally excited and concerned,Agree,Very helpful,0,2024-09-09T15:14:43.122Z,Unsure,No,27
63d40473b035404fc2725d2a,66dd0fe39bfb33794b562bc9,coach,71,More excited than concerned,Somewhat difficult,More excited than concerned,Agree,A little helpful,0,2024-09-09T15:14:24.405Z,To think of a word linking all 3 words,No,69
6658f1e8045b6be82ee4e60a,66dd0fe39bfb33794b562bc9,absent,5,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,Very helpful,0,2024-09-09T15:12:09.521Z,Repeating the over and over until something came to mind.,No.,6
63c80a427dfa1305502df5a8,66dd0fe39bfb33794b562bc9,absent,50,More concerned than excited,Very easy,More concerned than excited,Agree,A little helpful,0,2024-09-09T15:12:48.537Z,Just came straight to me,No,50
57be9976c5234c00014706c1,66dd0fe39bfb33794b562bc9,absent,18,More concerned than excited,Very difficult,More concerned than excited,Agree,A little helpful,0,2024-09-09T15:10:48.335Z,"One came easy the second one, my mind went blank",no,16
666d9282db54ef7e18d65072,66dd0fe39bfb33794b562bc9,generate,82,More concerned than excited,Very easy,More concerned than excited,Agree,A little helpful,0,2024-09-09T15:13:55.885Z,thinking,no,86
5bbe05fc6322c500015ac016,66dd0fe39bfb33794b562bc9,absent,40,More concerned than excited,Somewhat easy,More concerned than excited,Agree,A little helpful,0,2024-09-09T15:13:19.565Z,said the words out loud to try and work out what the word would be. Found it easier to do it this way to think aloud.,none,0
61115a5c86530842e8400471,66dd0fe39bfb33794b562bc9,generate,14,More excited than concerned,Very difficult,Equally excited and concerned,Agree,Very helpful,0,2024-09-09T15:12:33.321Z,I didnt have one- I guessed and was very confused.,No,11
614fda467c71f6058a119be5,66dd0fe39bfb33794b562bc9,generate,50,Equally excited and concerned,Very easy,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:12:57.020Z,"There honestly wasn't much of a strategy, after seeing the words the associated work just popped into my head and then I made sure it fit with all of the words.",No everything went well!,25
62fb7a00e90a516a23cfa123,66dd0fe39bfb33794b562bc9,coach,55,Equally excited and concerned,Very easy,Equally excited and concerned,Agree,Very helpful,0,2024-09-09T15:14:28.238Z,Primarily thinking of words that could either precede or follow the words on the screen,No,75
660d53ffb54d05e5ae6c56f2,66dd0fe39bfb33794b562bc9,absent,0,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,Very helpful,0,2024-09-09T15:12:10.084Z,I was trying to match words that made sense in front of or after the associated words given.,No Issues,0
56a8d1f77f2472000d94fa3f,66dd0fe39bfb33794b562bc9,absent,55,More concerned than excited,Somewhat easy,More concerned than excited,Agree,Not at all helpful,0,2024-09-09T15:13:12.909Z,"There was no strategy, I looked at the three words and used common sense",no game of snake ever appeared!,53
5f2ada1948d8b13d5da4dfb2,66dd0fe39bfb33794b562bc9,generate,13,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,Very helpful,0,2024-09-09T15:14:20.856Z,just listing as many words i could relate to one of the words and see if they fit the others,no,9
6504602a870c824d03739550,66dd0fe39bfb33794b562bc9,generate,70,Equally excited and concerned,Somewhat easy,Equally excited and concerned,Agree,Not at all helpful,0,2024-09-09T15:13:40.528Z,Say multiple words out loud until they sounded correct.,No,70
593081fc5f170a00014358f4,66dd0fe39bfb33794b562bc9,absent,36,More concerned than excited,Somewhat easy,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:14:24.272Z,trying to think of a word that i would use with the last two,no,54
605cbc0ccd5746e1b4f354d2,66dd0fe39bfb33794b562bc9,absent,20,More excited than concerned,Very difficult,More excited than concerned,Agree,Very helpful,0,2024-09-09T15:13:09.836Z,tried associating a compaound word with atleast 2 and hoped it worked for the 3rd word,no,7
60941b098b68afe9c6e96e94,66dd0fe39bfb33794b562bc9,coach,8,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,Very helpful,7.802,2024-09-09T15:09:36.659Z,same as before just thinking and trying words,no,5
61391693d47000d783145b93,66dd0fe39bfb33794b562bc9,absent,29,Equally excited and concerned,Very easy,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:13:48.440Z,"Hoping that my brain would spit out the word I was looking for? I wouldn't call it a strategy, just memory.",no.,20
667a9f27d92055021c2a46df,66dd0fe39bfb33794b562bc9,generate,75,Equally excited and concerned,Very easy,More excited than concerned,Agree,Very helpful,0,2024-09-09T15:15:16.104Z,Identify Common Themes: I looked for a common element or concept that could connect all the given words.,nope,52
667a9f27d92055021c2a46df,66dd0fe39bfb33794b562bc9,generate,75,Equally excited and concerned,Very easy,More excited than concerned,Agree,Very helpful,0,2024-09-09T15:15:16.104Z,Identify Common Themes: I looked for a common element or concept that could connect all the given words.,nope,52
6044674f9ea7d14e2dc4c3a8,66dd0fe39bfb33794b562bc9,generate,60,More excited than concerned,Somewhat difficult,More excited than concerned,Agree,Very helpful,0,2024-09-09T15:14:55.747Z,Try to go through each word and find words that match and then try to match that word with the other remaining words.,no,55
60b0e2e9da39aa943cbc748f,66dd0fe39bfb33794b562bc9,coach,20,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,Not at all helpful,0,2024-09-09T15:15:28.409Z,"For the first one I thought of something that linked the last two and then had to force it potentially link to aid, (vehicle recovery?). The second one was immediately obvious from common phrases",no,16
5cec0618539ced0001fbb47a,66dd0fe39bfb33794b562bc9,generate,72,More excited than concerned,Somewhat difficult,More excited than concerned,Agree,A little helpful,0,2024-09-09T15:12:58.027Z,just trying to think of words that were associated with all three words,no,73
5ec7ad7362fff702b7c8c8fd,66dd0fe39bfb33794b562bc9,coach,20,Equally excited and concerned,Very easy,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:16:14.838Z,Think of random words that fit for all 3 choices.,No.,29
66ae4ce4002a1714dacd22f2,66dd0fe39bfb33794b562bc9,absent,49,More concerned than excited,Somewhat easy,More concerned than excited,Agree,Very helpful,0,2024-09-09T15:14:30.347Z,"I thought of different words I knew containing the first given word in the list of three, then checked whether the combination worked for the next two.",no,33
6048208c277dc6166e4081a1,66dd0fe39bfb33794b562bc9,coach,52,More excited than concerned,Somewhat easy,More excited than concerned,Agree,A little helpful,0,2024-09-09T15:14:59.321Z,Think very broadly and try to avoid getting hung up on making one or two concepts work.,No,54
5c3e32cd9ef99e00016a6f59,66dd0fe39bfb33794b562bc9,generate,86,More concerned than excited,Very easy,More concerned than excited,Agree,Not at all helpful,0,2024-09-09T15:16:05.379Z,try to find something that matches at least two words,the wait was TOO LONG and it made me irritated.,86
5d1dddf22a76c70019a43cfc,66dd0fe39bfb33794b562bc9,generate,21,Equally excited and concerned,Very difficult,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:14:43.308Z,I struggled to come up with anything that linked them. I read each word and tried to find a link but couldnt,No,7
6659907a878333b4b4a53b91,66dd0fe39bfb33794b562bc9,absent,44,More excited than concerned,Somewhat easy,More excited than concerned,Agree,A little helpful,0,2024-09-09T15:16:03.261Z,I didnt have one,no,46
59f77c1705d1d60001f14563,66dd0fe39bfb33794b562bc9,coach,20,More concerned than excited,Very difficult,More concerned than excited,Agree,Not at all helpful,0,2024-09-09T15:15:47.885Z,n/a,n/a,20
62da7d3913126d5b2122fc0c,66dd0fe39bfb33794b562bc9,coach,33,More concerned than excited,Very difficult,More concerned than excited,Agree,A little helpful,0,2024-09-09T15:13:35.238Z,focus on the object word and find associated word from there. Very hard!,not al all.,10
5aafe2a9fb22320001babb3a,66dd0fe39bfb33794b562bc9,absent,19,Equally excited and concerned,Somewhat easy,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:14:38.512Z,Think of a word that connect to one of the words,no,10
5db09b3a9611830016dd495b,66dd0fe39bfb33794b562bc9,coach,5,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:10:45.635Z,Thinking of words that connect with any of the three words and then seeing if it fitted with the other words; if that word didnt fit then thinking of a different connected word seeing it that word fitted and repeating that until i found a word,no tech issues,1
5ec28db2622c500632dc95bc,66dd0fe39bfb33794b562bc9,coach,44,Equally excited and concerned,Very difficult,More concerned than excited,Agree,Very helpful,0,2024-09-09T15:14:19.772Z,I tried to come up with creative ideas and not repeat my answers,no,10
632c673f8b99c86ac2fba537,66dd0fe39bfb33794b562bc9,generate,90,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,Very helpful,0,2024-09-09T15:16:20.475Z,Thinking of related words and seeing if they fitted the other ones,No,90
664b659386921be78bcfc4d8,66dd0fe39bfb33794b562bc9,generate,100,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,Very helpful,0,2024-09-09T15:32:45.457Z,critical thinking,no,100
65cb781b800d57cbac8021d3,66dd0fe39bfb33794b562bc9,coach,6,More excited than concerned,Somewhat difficult,More excited than concerned,Agree,A little helpful,0,2024-09-09T15:17:07.641Z,Trying to think of words for each and see if they overlap.,No.,4
5fa67f9f6751052aa99a6d56,66dd0fe39bfb33794b562bc9,generate,39,More excited than concerned,Somewhat difficult,More excited than concerned,Agree,A little helpful,0,2024-09-09T15:16:12.352Z,No strategy,no,23
6384cf03592d1f4907fa624e,66dd0fe39bfb33794b562bc9,coach,64,More excited than concerned,Somewhat easy,More excited than concerned,Agree,A little helpful,0,2024-09-09T15:17:43.364Z,adding a word to one of them and trying it for the others,no,73
6679705b2b93ba786ff1cc5d,66dd0fe39bfb33794b562bc9,generate,25,More excited than concerned,Somewhat easy,More excited than concerned,Agree,Very helpful,0,2024-09-09T15:16:23.195Z,Just thought of all words that would connect two then tried to see how the third would fit.,no,26
6044ca22bc6235555362d5bb,66dd0fe39bfb33794b562bc9,absent,25,More concerned than excited,Somewhat easy,More concerned than excited,Agree,A little helpful,0,2024-09-09T15:16:26.281Z,"say the words out loud, trying to see which word addition connects to all the words","no, thanks",20
58c1c07127e23a0001b4ea08,66dd0fe39bfb33794b562bc9,coach,30,More excited than concerned,Somewhat difficult,More concerned than excited,Agree,A little helpful,0,2024-09-09T15:16:19.610Z,"THINK OF MANY WORDS FOR THE FIRST WORD, AND TRY THEM WITH THE OTHER WORDS",NO,21
622a29743b7c0ca5eee56e24,66dd0fe39bfb33794b562bc9,coach,25,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:15:56.107Z,finding an obvious connection between two of the words and seeing if it worked with the third word,none - apart from not knowing how the game Snake works and what I was supposed to do!,19
5ea02ae8b0f7a9000c5ca058,66dd0fe39bfb33794b562bc9,coach,51,More concerned than excited,Somewhat easy,More concerned than excited,Agree,A little helpful,0,2024-09-09T15:17:20.737Z,to look for a word that made sense when joined with 2/3 of the words if it didn't fit with all 3,no,50
5e19b24b2bf9512392d6dd90,66dd0fe39bfb33794b562bc9,coach,35,More excited than concerned,Very difficult,More excited than concerned,Agree,Very helpful,0,2024-09-09T15:13:41.097Z,"I tried to think of words that would link with all of them in my head by association e.g. hound dog, shot put etc. them eliminate the words that did not link with all the words",No,17
66ad8cd448af5c6a5935761f,66dd0fe39bfb33794b562bc9,absent,34,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:16:53.984Z,Just think for things that would make sense.,NO.,38
5d1cb8220a41bb0001862ad2,66dd0fe39bfb33794b562bc9,absent,50,Equally excited and concerned,Very difficult,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:16:53.442Z,"try and think of words relating to one of the words, and then see if they matched the other words",no,10
613231c7b264c7a16314d253,66dd0fe39bfb33794b562bc9,coach,60,Equally excited and concerned,Somewhat easy,More concerned than excited,Agree,Very helpful,0,2024-09-09T15:16:28.461Z,"Focused on one word and come up with a few options, then see if they worked with the other words.",No,13
5f612fe73bb6c60afeafb0e9,66dd0fe39bfb33794b562bc9,coach,19,More concerned than excited,Very difficult,More concerned than excited,Agree,Not at all helpful,0,2024-09-09T15:11:37.733Z,just trying to think of connected words - saying them aloud,no,19
58e1392dd930e0000141c0b4,66dd0fe39bfb33794b562bc9,generate,20,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,Not at all helpful,0,2024-09-09T15:17:18.939Z,Go through words in my head until I found one that fit for all three,No,20
63038a65256095f603d05062,66dd0fe39bfb33794b562bc9,absent,52,Equally excited and concerned,Somewhat easy,Equally excited and concerned,Agree,A little helpful,0,2024-09-09T15:15:14.823Z,Trying to think of words that made sense,no,45
6104d58336ac506a2aa1f325,66dd0fe39bfb33794b562bc9,coach,100,More concerned than excited,Somewhat easy,More concerned than excited,Agree,A little helpful,0,2024-09-09T15:38:29.991Z,Match at least 2,No,100
65de30b34b701c678a13c75b,66dd0fe39bfb33794b562bc9,coach,4,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,Very helpful,0,2024-09-09T15:16:03.576Z,Looked at the first word and tried to think of a word that would easily associate with that and then considered if the same word with associate with the other two words on the list,no,23
629382914e43b1736f2b1233,66dd0fe39bfb33794b562bc9,absent,28,Equally excited and concerned,Very difficult,Equally excited and concerned,Agree,Not at all helpful,0,2024-09-09T15:16:20.730Z,I was sceptical that there was really a connection but I just did my best guess.,"Yes , the snake game did not work.",46
599c1130638529000144ffdd,66dd0fe39bfb33794b562bc9,generate,52,More concerned than excited,Very easy,Equally excited and concerned,Agree,Not at all helpful,0,2024-09-09T15:17:39.415Z,Just thinking of each word,no,64
