workerid,hitId,condition,phase,item_name,response,onTime,is_correct
644b8b2b8ab902554e307f27,66dd0fe39bfb33794b562bc9,absent,practice,blue,black,True,False
644b8b2b8ab902554e307f27,66dd0fe39bfb33794b562bc9,absent,practice,cart,cart,True,True
644b8b2b8ab902554e307f27,66dd0fe39bfb33794b562bc9,absent,practice,bank,bank,True,True
644b8b2b8ab902554e307f27,66dd0fe39bfb33794b562bc9,absent,test,pit,tree,True,False
644b8b2b8ab902554e307f27,66dd0fe39bfb33794b562bc9,absent,test,day,day,True,True
644b8b2b8ab902554e307f27,66dd0fe39bfb33794b562bc9,absent,practice,blue,black,True,False
644b8b2b8ab902554e307f27,66dd0fe39bfb33794b562bc9,absent,practice,cart,cart,True,True
644b8b2b8ab902554e307f27,66dd0fe39bfb33794b562bc9,absent,practice,bank,bank,True,True
644b8b2b8ab902554e307f27,66dd0fe39bfb33794b562bc9,absent,test,pit,tree,True,False
644b8b2b8ab902554e307f27,66dd0fe39bfb33794b562bc9,absent,test,day,day,True,True
6658d0969b9cd1a0f1a25c5d,66dd0fe39bfb33794b562bc9,absent,practice,door,Flat,True,False
6658d0969b9cd1a0f1a25c5d,66dd0fe39bfb33794b562bc9,absent,practice,coat,Black,True,False
6658d0969b9cd1a0f1a25c5d,66dd0fe39bfb33794b562bc9,absent,practice,hole,trick,True,False
6658d0969b9cd1a0f1a25c5d,66dd0fe39bfb33794b562bc9,absent,test,horn,sole,True,False
6658d0969b9cd1a0f1a25c5d,66dd0fe39bfb33794b562bc9,absent,test,cart,cart,True,True
59f8719e8c95b80001362f88,66dd0fe39bfb33794b562bc9,absent,practice,candle,candle,True,True
59f8719e8c95b80001362f88,66dd0fe39bfb33794b562bc9,absent,practice,snow,corn,True,False
59f8719e8c95b80001362f88,66dd0fe39bfb33794b562bc9,absent,practice,blue,blue,True,True
59f8719e8c95b80001362f88,66dd0fe39bfb33794b562bc9,absent,test,soap,soap,True,True
59f8719e8c95b80001362f88,66dd0fe39bfb33794b562bc9,absent,test,horn,horn,True,True
66cba302d70a26c630d75afc,66dd0fe39bfb33794b562bc9,generate,practice,door,door,True,True
66cba302d70a26c630d75afc,66dd0fe39bfb33794b562bc9,generate,practice,band,bandaid,True,False
66cba302d70a26c630d75afc,66dd0fe39bfb33794b562bc9,generate,practice,saw,fairy,True,False
66cba302d70a26c630d75afc,66dd0fe39bfb33794b562bc9,generate,test,blood,sound,True,False
66cba302d70a26c630d75afc,66dd0fe39bfb33794b562bc9,generate,test,bar,leaf,True,False
5d08e3676f5dfc0019d57a4c,66dd0fe39bfb33794b562bc9,absent,practice,hole,hole,False,True
5d08e3676f5dfc0019d57a4c,66dd0fe39bfb33794b562bc9,absent,practice,candle,card,False,False
5d08e3676f5dfc0019d57a4c,66dd0fe39bfb33794b562bc9,absent,practice,tree,tree,False,True
5d08e3676f5dfc0019d57a4c,66dd0fe39bfb33794b562bc9,absent,test,common,common,True,True
5d08e3676f5dfc0019d57a4c,66dd0fe39bfb33794b562bc9,absent,test,spider,black,False,False
5ea6295c2c39b16355a6bbac,66dd0fe39bfb33794b562bc9,generate,practice,soap,soap,True,True
5ea6295c2c39b16355a6bbac,66dd0fe39bfb33794b562bc9,generate,practice,tree,tree,True,True
5ea6295c2c39b16355a6bbac,66dd0fe39bfb33794b562bc9,generate,practice,band,band,True,True
5ea6295c2c39b16355a6bbac,66dd0fe39bfb33794b562bc9,generate,test,hole,hole,True,True
5ea6295c2c39b16355a6bbac,66dd0fe39bfb33794b562bc9,generate,test,pit,black,True,False
65e74105c99a4ee078b66239,66dd0fe39bfb33794b562bc9,generate,practice,brush,brush,True,True
65e74105c99a4ee078b66239,66dd0fe39bfb33794b562bc9,generate,practice,bar,bar,True,True
65e74105c99a4ee078b66239,66dd0fe39bfb33794b562bc9,generate,practice,long,long,True,True
65e74105c99a4ee078b66239,66dd0fe39bfb33794b562bc9,generate,test,street,street,True,True
65e74105c99a4ee078b66239,66dd0fe39bfb33794b562bc9,generate,test,gold,coal,True,False
637d85be238af853da68922d,66dd0fe39bfb33794b562bc9,generate,practice,spider,Spider,True,True
637d85be238af853da68922d,66dd0fe39bfb33794b562bc9,generate,practice,blood,Blood,True,True
637d85be238af853da68922d,66dd0fe39bfb33794b562bc9,generate,practice,hole,Little,True,False
637d85be238af853da68922d,66dd0fe39bfb33794b562bc9,generate,test,saw,Wood,True,False
637d85be238af853da68922d,66dd0fe39bfb33794b562bc9,generate,test,soap,Soap,True,True
5eebc973f2c6c41483ba6e81,66dd0fe39bfb33794b562bc9,coach,practice,turn,red,True,False
5eebc973f2c6c41483ba6e81,66dd0fe39bfb33794b562bc9,coach,practice,coat,coat,True,True
5eebc973f2c6c41483ba6e81,66dd0fe39bfb33794b562bc9,coach,practice,space,cruise,True,False
5eebc973f2c6c41483ba6e81,66dd0fe39bfb33794b562bc9,coach,test,ball,fall,True,False
5eebc973f2c6c41483ba6e81,66dd0fe39bfb33794b562bc9,coach,test,day,shade,True,False
66912a898e38868795e81c58,66dd0fe39bfb33794b562bc9,coach,practice,camp,camp,True,True
66912a898e38868795e81c58,66dd0fe39bfb33794b562bc9,coach,practice,blue,blue,True,True
66912a898e38868795e81c58,66dd0fe39bfb33794b562bc9,coach,practice,tree,wine,True,False
66912a898e38868795e81c58,66dd0fe39bfb33794b562bc9,coach,test,pot,pot,True,True
66912a898e38868795e81c58,66dd0fe39bfb33794b562bc9,coach,test,coat,coat,True,True
5b3533616d601d0001d65110,66dd0fe39bfb33794b562bc9,generate,practice,space,time,True,False
5b3533616d601d0001d65110,66dd0fe39bfb33794b562bc9,generate,practice,candle,candle,True,True
5b3533616d601d0001d65110,66dd0fe39bfb33794b562bc9,generate,practice,blue,blue,True,True
5b3533616d601d0001d65110,66dd0fe39bfb33794b562bc9,generate,test,street,road,True,False
5b3533616d601d0001d65110,66dd0fe39bfb33794b562bc9,generate,test,cart,cart,True,True
5cd17030a683940001a685e9,66dd0fe39bfb33794b562bc9,generate,practice,tree,tree,True,True
5cd17030a683940001a685e9,66dd0fe39bfb33794b562bc9,generate,practice,snow,snow,True,True
5cd17030a683940001a685e9,66dd0fe39bfb33794b562bc9,generate,practice,coat,coat,True,True
5cd17030a683940001a685e9,66dd0fe39bfb33794b562bc9,generate,test,common,no,True,False
5cd17030a683940001a685e9,66dd0fe39bfb33794b562bc9,generate,test,band,band,True,True
6659c2208d48365d43ec3a11,66dd0fe39bfb33794b562bc9,absent,practice,blood,blood,True,True
6659c2208d48365d43ec3a11,66dd0fe39bfb33794b562bc9,absent,practice,ball,ball,True,True
6659c2208d48365d43ec3a11,66dd0fe39bfb33794b562bc9,absent,practice,tree,tree,True,True
6659c2208d48365d43ec3a11,66dd0fe39bfb33794b562bc9,absent,test,candle,candle,True,True
6659c2208d48365d43ec3a11,66dd0fe39bfb33794b562bc9,absent,test,gold,gold,True,True
57811ce809fb910001335702,66dd0fe39bfb33794b562bc9,absent,practice,trap,Brown,True,False
57811ce809fb910001335702,66dd0fe39bfb33794b562bc9,absent,practice,common,Common,True,True
57811ce809fb910001335702,66dd0fe39bfb33794b562bc9,absent,practice,pit,Orange,False,False
57811ce809fb910001335702,66dd0fe39bfb33794b562bc9,absent,test,long,tension,False,False
57811ce809fb910001335702,66dd0fe39bfb33794b562bc9,absent,test,snow,Snow,True,True
5d45521afdaaad00010ec185,66dd0fe39bfb33794b562bc9,generate,practice,camp,camp,True,True
5d45521afdaaad00010ec185,66dd0fe39bfb33794b562bc9,generate,practice,turn,turn,True,True
5d45521afdaaad00010ec185,66dd0fe39bfb33794b562bc9,generate,practice,trap,trap,True,True
5d45521afdaaad00010ec185,66dd0fe39bfb33794b562bc9,generate,test,bar,bar,True,True
5d45521afdaaad00010ec185,66dd0fe39bfb33794b562bc9,generate,test,bank,bank,True,True
5c8ba4994fafad0017d758ce,66dd0fe39bfb33794b562bc9,coach,practice,camp,camp,True,True
5c8ba4994fafad0017d758ce,66dd0fe39bfb33794b562bc9,coach,practice,snow,snow,True,True
5c8ba4994fafad0017d758ce,66dd0fe39bfb33794b562bc9,coach,practice,door,fly,True,False
5c8ba4994fafad0017d758ce,66dd0fe39bfb33794b562bc9,coach,test,bank,bank,True,True
5c8ba4994fafad0017d758ce,66dd0fe39bfb33794b562bc9,coach,test,hole,hole,True,True
6108f502ec4a82fd734d6e50,66dd0fe39bfb33794b562bc9,generate,practice,girl,Girl,True,True
6108f502ec4a82fd734d6e50,66dd0fe39bfb33794b562bc9,generate,practice,brush,Brush,True,True
6108f502ec4a82fd734d6e50,66dd0fe39bfb33794b562bc9,generate,practice,street,Road,True,False
6108f502ec4a82fd734d6e50,66dd0fe39bfb33794b562bc9,generate,test,camp,Camp,False,True
6108f502ec4a82fd734d6e50,66dd0fe39bfb33794b562bc9,generate,test,spider,Spider,True,True
5b27b81293707800011eabdd,66dd0fe39bfb33794b562bc9,generate,practice,hole,little,True,False
5b27b81293707800011eabdd,66dd0fe39bfb33794b562bc9,generate,practice,bar,bar,True,True
5b27b81293707800011eabdd,66dd0fe39bfb33794b562bc9,generate,practice,space,space,True,True
5b27b81293707800011eabdd,66dd0fe39bfb33794b562bc9,generate,test,ball,ball,True,True
5b27b81293707800011eabdd,66dd0fe39bfb33794b562bc9,generate,test,spider,x,False,False
6108f502ec4a82fd734d6e50,66dd0fe39bfb33794b562bc9,generate,practice,girl,Girl,True,True
6108f502ec4a82fd734d6e50,66dd0fe39bfb33794b562bc9,generate,practice,brush,Brush,True,True
6108f502ec4a82fd734d6e50,66dd0fe39bfb33794b562bc9,generate,practice,street,Road,True,False
6108f502ec4a82fd734d6e50,66dd0fe39bfb33794b562bc9,generate,test,camp,Camp,False,True
6108f502ec4a82fd734d6e50,66dd0fe39bfb33794b562bc9,generate,test,spider,Spider,True,True
6649daae5ae7bacf511c2e7c,66dd0fe39bfb33794b562bc9,generate,practice,common,common,True,True
6649daae5ae7bacf511c2e7c,66dd0fe39bfb33794b562bc9,generate,practice,tree,beach,True,False
6649daae5ae7bacf511c2e7c,66dd0fe39bfb33794b562bc9,generate,practice,turn,railway,True,False
6649daae5ae7bacf511c2e7c,66dd0fe39bfb33794b562bc9,generate,test,soap,soap,True,True
6649daae5ae7bacf511c2e7c,66dd0fe39bfb33794b562bc9,generate,test,bank,book,True,False
5cefd79bc37f4f0018de98da,66dd0fe39bfb33794b562bc9,absent,practice,common,common,True,True
5cefd79bc37f4f0018de98da,66dd0fe39bfb33794b562bc9,absent,practice,hole,hole,True,True
5cefd79bc37f4f0018de98da,66dd0fe39bfb33794b562bc9,absent,practice,door,door,True,True
5cefd79bc37f4f0018de98da,66dd0fe39bfb33794b562bc9,absent,test,gold,gold,True,True
5cefd79bc37f4f0018de98da,66dd0fe39bfb33794b562bc9,absent,test,ball,ball,True,True
59e73321be399f0001e49cdf,66dd0fe39bfb33794b562bc9,generate,practice,band,Band,True,True
59e73321be399f0001e49cdf,66dd0fe39bfb33794b562bc9,generate,practice,snow,Snow,True,True
59e73321be399f0001e49cdf,66dd0fe39bfb33794b562bc9,generate,practice,camp,Play,False,False
59e73321be399f0001e49cdf,66dd0fe39bfb33794b562bc9,generate,test,bank,Bank,True,True
59e73321be399f0001e49cdf,66dd0fe39bfb33794b562bc9,generate,test,day,Day,True,True
60eded1cf95926da043a773b,66dd0fe39bfb33794b562bc9,absent,practice,tree,hand,True,False
60eded1cf95926da043a773b,66dd0fe39bfb33794b562bc9,absent,practice,bank,bank,True,True
60eded1cf95926da043a773b,66dd0fe39bfb33794b562bc9,absent,practice,ball,ball,True,True
60eded1cf95926da043a773b,66dd0fe39bfb33794b562bc9,absent,test,soap,soap,True,True
60eded1cf95926da043a773b,66dd0fe39bfb33794b562bc9,absent,test,band,band,True,True
5cfde288bab656000198b943,66dd0fe39bfb33794b562bc9,generate,practice,saw,saw,True,True
5cfde288bab656000198b943,66dd0fe39bfb33794b562bc9,generate,practice,coat,coat,True,True
5cfde288bab656000198b943,66dd0fe39bfb33794b562bc9,generate,practice,candle,candle,True,True
5cfde288bab656000198b943,66dd0fe39bfb33794b562bc9,generate,test,bar,bar,True,True
5cfde288bab656000198b943,66dd0fe39bfb33794b562bc9,generate,test,hole,hole,True,True
5922fd354d88c800013cb29b,66dd0fe39bfb33794b562bc9,absent,practice,space,space,True,True
5922fd354d88c800013cb29b,66dd0fe39bfb33794b562bc9,absent,practice,ball,man,False,False
5922fd354d88c800013cb29b,66dd0fe39bfb33794b562bc9,absent,practice,gold,fillet,False,False
5922fd354d88c800013cb29b,66dd0fe39bfb33794b562bc9,absent,test,horn,polish,True,False
5922fd354d88c800013cb29b,66dd0fe39bfb33794b562bc9,absent,test,snow,snow,True,True
5f75aacba1d577239cf27ccb,66dd0fe39bfb33794b562bc9,generate,practice,coat,coat,True,True
5f75aacba1d577239cf27ccb,66dd0fe39bfb33794b562bc9,generate,practice,blood,blood,True,True
5f75aacba1d577239cf27ccb,66dd0fe39bfb33794b562bc9,generate,practice,hole,show,True,False
5f75aacba1d577239cf27ccb,66dd0fe39bfb33794b562bc9,generate,test,pit,fuzz,False,False
5f75aacba1d577239cf27ccb,66dd0fe39bfb33794b562bc9,generate,test,day,bad,False,False
5f311b9dfb351921a705036f,66dd0fe39bfb33794b562bc9,absent,practice,pit,pit,True,True
5f311b9dfb351921a705036f,66dd0fe39bfb33794b562bc9,absent,practice,bank,current,True,False
5f311b9dfb351921a705036f,66dd0fe39bfb33794b562bc9,absent,practice,door,out,False,False
5f311b9dfb351921a705036f,66dd0fe39bfb33794b562bc9,absent,test,pot,pot,True,True
5f311b9dfb351921a705036f,66dd0fe39bfb33794b562bc9,absent,test,snow,snow,True,True
59b8557d59f3df0001e0894e,66dd0fe39bfb33794b562bc9,coach,practice,bank,bank,False,True
59b8557d59f3df0001e0894e,66dd0fe39bfb33794b562bc9,coach,practice,bar,bar,True,True
59b8557d59f3df0001e0894e,66dd0fe39bfb33794b562bc9,coach,practice,turn,statistics,False,False
59b8557d59f3df0001e0894e,66dd0fe39bfb33794b562bc9,coach,test,gold,gold,True,True
59b8557d59f3df0001e0894e,66dd0fe39bfb33794b562bc9,coach,test,girl,girl,True,True
651ab5a02f56abaac122a44d,66dd0fe39bfb33794b562bc9,absent,practice,bar,money,True,False
651ab5a02f56abaac122a44d,66dd0fe39bfb33794b562bc9,absent,practice,ball,case,True,False
651ab5a02f56abaac122a44d,66dd0fe39bfb33794b562bc9,absent,practice,spider,mark,True,False
651ab5a02f56abaac122a44d,66dd0fe39bfb33794b562bc9,absent,test,turn,turn,True,True
651ab5a02f56abaac122a44d,66dd0fe39bfb33794b562bc9,absent,test,cart,bag,True,False
5c7671c7c872f3001446f1e5,66dd0fe39bfb33794b562bc9,generate,practice,girl,girl,True,True
5c7671c7c872f3001446f1e5,66dd0fe39bfb33794b562bc9,generate,practice,coat,coat,True,True
5c7671c7c872f3001446f1e5,66dd0fe39bfb33794b562bc9,generate,practice,horn,horn,True,True
5c7671c7c872f3001446f1e5,66dd0fe39bfb33794b562bc9,generate,test,bank,bank,True,True
5c7671c7c872f3001446f1e5,66dd0fe39bfb33794b562bc9,generate,test,bar,bar,True,True
5f37e49dbfbc4529289bb538,66dd0fe39bfb33794b562bc9,absent,practice,gold,gold,True,True
5f37e49dbfbc4529289bb538,66dd0fe39bfb33794b562bc9,absent,practice,camp,camp,True,True
5f37e49dbfbc4529289bb538,66dd0fe39bfb33794b562bc9,absent,practice,cart,cart,True,True
5f37e49dbfbc4529289bb538,66dd0fe39bfb33794b562bc9,absent,test,bar,bar,True,True
5f37e49dbfbc4529289bb538,66dd0fe39bfb33794b562bc9,absent,test,pit,pit,True,True
630382e1437566a48f78a56f,66dd0fe39bfb33794b562bc9,coach,practice,brush,colour,True,False
630382e1437566a48f78a56f,66dd0fe39bfb33794b562bc9,coach,practice,spider,heavy,True,False
630382e1437566a48f78a56f,66dd0fe39bfb33794b562bc9,coach,practice,horn,exotic,True,False
630382e1437566a48f78a56f,66dd0fe39bfb33794b562bc9,coach,test,bank,secret,True,False
630382e1437566a48f78a56f,66dd0fe39bfb33794b562bc9,coach,test,turn,turn,True,True
65ad066efb7c071ca1895ca1,66dd0fe39bfb33794b562bc9,coach,practice,tree,Tree,True,True
65ad066efb7c071ca1895ca1,66dd0fe39bfb33794b562bc9,coach,practice,cart,bag,True,False
65ad066efb7c071ca1895ca1,66dd0fe39bfb33794b562bc9,coach,practice,brush,strand,True,False
65ad066efb7c071ca1895ca1,66dd0fe39bfb33794b562bc9,coach,test,band,band,True,True
65ad066efb7c071ca1895ca1,66dd0fe39bfb33794b562bc9,coach,test,bar,foot,True,False
577e3a5025cb71000128727e,66dd0fe39bfb33794b562bc9,coach,practice,ball,rice,False,False
577e3a5025cb71000128727e,66dd0fe39bfb33794b562bc9,coach,practice,door,door,True,True
577e3a5025cb71000128727e,66dd0fe39bfb33794b562bc9,coach,practice,pot,pot,True,True
577e3a5025cb71000128727e,66dd0fe39bfb33794b562bc9,coach,test,pit,chair,False,False
577e3a5025cb71000128727e,66dd0fe39bfb33794b562bc9,coach,test,band,band,True,True
5f10da001b822c2988fbdb89,66dd0fe39bfb33794b562bc9,coach,practice,camp,camp,True,True
5f10da001b822c2988fbdb89,66dd0fe39bfb33794b562bc9,coach,practice,street,road,True,False
5f10da001b822c2988fbdb89,66dd0fe39bfb33794b562bc9,coach,practice,spider,spider,True,True
5f10da001b822c2988fbdb89,66dd0fe39bfb33794b562bc9,coach,test,hole,fire,True,False
5f10da001b822c2988fbdb89,66dd0fe39bfb33794b562bc9,coach,test,day,day,True,True
6658d66a5e45cac0aaeb54de,66dd0fe39bfb33794b562bc9,generate,practice,blue,blue,True,True
6658d66a5e45cac0aaeb54de,66dd0fe39bfb33794b562bc9,generate,practice,camp,camp,True,True
