hitid,workerid,raw_json
66bcb3acc2bf9a8a4fb322dd,5d41ff88146fcc001a139150,"{'0': {'PageLoad': '2024-08-21T00:41:00.353Z'}, '1': {'FluencyInput': [{'id': 0, 'iid': 0, 'name': 'fan', 'time': '2024-08-21T00:41:08.007Z'}, {'id': 1, 'iid': 1, 'name': 'february', 'time': '2024-08-21T00:41:11.751Z'}, {'id': 2, 'iid': 2, 'name': 'feelings', 'time': '2024-08-21T00:41:16.406Z'}, {'id': 3, 'iid': 3, 'name': 'freedom', 'time': '2024-08-21T00:41:19.103Z'}, {'id': 4, 'iid': 4, 'name': 'free', 'time': '2024-08-21T00:41:20.751Z'}, {'id': 5, 'iid': 5, 'name': 'feel', 'time': '2024-08-21T00:41:22.623Z'}, {'id': 6, 'iid': 6, 'name': 'fun', 'time': '2024-08-21T00:41:24.431Z'}, {'id': 7, 'iid': 7, 'name': 'funny', 'time': '2024-08-21T00:41:26.255Z'}, {'id': 8, 'iid': 8, 'name': 'fantastic', 'time': '2024-08-21T00:41:29.247Z'}, {'id': 10, 'iid': 10, 'name': 'freak', 'time': '2024-08-21T00:41:38.807Z'}, {'id': 11, 'iid': 11, 'name': 'fam', 'time': '2024-08-21T00:41:45.007Z'}, {'id': 12, 'iid': 12, 'name': 'family', 'time': '2024-08-21T00:41:49.767Z'}, {'id': 13, 'iid': 13, 'name': 'farm', 'time': '2024-08-21T00:41:51.575Z'}, {'id': 14, 'iid': 14, 'name': 'farming', 'time': '2024-08-21T00:41:53.247Z'}, {'id': 15, 'iid': 15, 'name': 'Farmington', 'time': '2024-08-21T00:41:57.415Z'}]}, '2': {'HideTime': 0}, '3': 'absent', '4': {'How Creative?': '60', 'Increased AI use makes you feel': 'More excited than concerned'}, '5': {'PageLoad': '2024-08-21T00:42:43.400Z'}, '6': {'Round': 'practice', 'Prompt': 'space', 'onTime': True, 'Response': 'space'}, '7': {'Round': 'practice', 'Prompt': 'bank', 'onTime': True, 'Response': 'bank'}, '8': {'Round': 'practice', 'Prompt': 'long', 'onTime': False, 'Response': 'long'}, '9': {'Round': 'test', 'Prompt': 'band', 'onTime': True, 'Response': 'band'}, '10': {'HideTime': 0}, 'hitId': '66bcb3acc2bf9a8a4fb322dd', 'feedback': {'q1': 'Very easy', 'q2': 'More excited than concerned', 'q3': 'Agree', 'q4': 'Very helpful', 'q6': 'No strategy involved. It just came to me.', 'q7': 'none', 'sliderValue': '60'}, 'workerId': '5d41ff88146fcc001a139150', 'assignmentId': '66c537735ae86318175df4b4', 'ts_submitted_': '2024-08-21T00:48:17.182Z'}"
66bcb3acc2bf9a8a4fb322dd,668d822d705c807ed4664ae1,"{'0': {'PageLoad': '2024-08-21T00:39:25.781Z'}, '1': {'FluencyInput': [{'id': 0, 'iid': 0, 'name': 'Fight', 'time': '2024-08-21T00:39:30.515Z'}, {'id': 1, 'iid': 1, 'name': 'Flight ', 'time': '2024-08-21T00:39:34.153Z'}, {'id': 2, 'iid': 2, 'name': 'Frigid', 'time': '2024-08-21T00:39:38.436Z'}, {'id': 3, 'iid': 3, 'name': 'Fame', 'time': '2024-08-21T00:39:41.770Z'}, {'id': 4, 'iid': 4, 'name': 'Famous', 'time': '2024-08-21T00:39:45.051Z'}, {'id': 5, 'iid': 5, 'name': 'Factual', 'time': '2024-08-21T00:39:48.398Z'}, {'id': 6, 'iid': 6, 'name': 'Fact', 'time': '2024-08-21T00:39:51.414Z'}, {'id': 7, 'iid': 7, 'name': 'Forgiven', 'time': '2024-08-21T00:39:55.177Z'}, {'id': 8, 'iid': 8, 'name': 'Forsake', 'time': '2024-08-21T00:39:58.835Z'}, {'id': 9, 'iid': 9, 'name': 'Found ', 'time': '2024-08-21T00:40:05.704Z'}, {'id': 10, 'iid': 10, 'name': 'Fright', 'time': '2024-08-21T00:40:09.572Z'}, {'id': 11, 'iid': 11, 'name': 'Frightening', 'time': '2024-08-21T00:40:14.286Z'}, {'id': 12, 'iid': 12, 'name': 'Freedom', 'time': '2024-08-21T00:40:19.487Z'}, {'id': 13, 'iid': 13, 'name': 'Fax', 'time': '2024-08-21T00:40:23.577Z'}]}, '2': {'HideTime': 0}, '3': 'generate', '4': {'How Creative?': '68', 'Increased AI use makes you feel': 'More excited than concerned'}, '5': {'PageLoad': '2024-08-21T00:40:45.612Z'}, '6': {'Round': 'practice', 'Prompt': 'spider', 'onTime': True, 'Response': 'Spider'}, '7': {'Round': 'practice', 'Prompt': 'day', 'onTime': True, 'Response': 'Day'}, '8': {'Round': 'practice', 'Prompt': 'door', 'onTime': True, 'Response': 'Door'}, '9': {'Round': 'test', 'Prompt': 'snow', 'onTime': True, 'Response': 'Phone'}, '10': {'HideTime': 0}, 'hitId': '66bcb3acc2bf9a8a4fb322dd', 'feedback': {'q1': 'Very difficult', 'q2': 'More excited than concerned', 'q3': 'Agree', 'q4': 'Not at all helpful', 'q6': 'Try to think what fit for all 3', 'q7': 'No', 'sliderValue': '23'}, 'workerId': '668d822d705c807ed4664ae1', 'assignmentId': '66c5372516f98496f96392f6', 'ts_submitted_': '2024-08-21T00:46:22.529Z'}"
66bcb3acc2bf9a8a4fb322dd,6604487bcefa53a1ccd4a684,"{'0': {'PageLoad': '2024-08-21T00:40:33.444Z'}, '1': {'FluencyInput': [{'id': 0, 'iid': 0, 'name': 'Food', 'time': '2024-08-21T00:40:40.680Z'}, {'id': 2, 'iid': 2, 'name': 'Fudge', 'time': '2024-08-21T00:40:52.933Z'}, {'id': 3, 'iid': 3, 'name': 'Fridge', 'time': '2024-08-21T00:40:57.170Z'}, {'id': 4, 'iid': 4, 'name': 'Fun', 'time': '2024-08-21T00:41:00.612Z'}, {'id': 5, 'iid': 5, 'name': 'Funk', 'time': '2024-08-21T00:41:04.324Z'}, {'id': 7, 'iid': 7, 'name': 'Fund', 'time': '2024-08-21T00:41:16.688Z'}, {'id': 8, 'iid': 8, 'name': 'Fin', 'time': '2024-08-21T00:41:20.059Z'}, {'id': 9, 'iid': 9, 'name': 'Find', 'time': '2024-08-21T00:41:23.502Z'}, {'id': 10, 'iid': 10, 'name': 'Fine', 'time': '2024-08-21T00:41:26.969Z'}, {'id': 11, 'iid': 11, 'name': 'Fuse', 'time': '2024-08-21T00:41:32.317Z'}]}, '2': {'HideTime': 0}, '3': 'generate', '4': {'How Creative?': '71', 'Increased AI use makes you feel': 'More excited than concerned'}, '5': {'PageLoad': '2024-08-21T00:42:23.743Z'}, '6': {'Round': 'practice', 'Prompt': 'bar', 'onTime': True, 'Response': 'Bar'}, '7': {'Round': 'practice', 'Prompt': 'bank', 'onTime': True, 'Response': 'Bank'}, '8': {'Round': 'practice', 'Prompt': 'long', 'onTime': True, 'Response': 'Long'}, '9': {'Round': 'test', 'Prompt': 'coat', 'onTime': True, 'Response': 'Coat'}, '10': {'HideTime': 0}, 'hitId': '66bcb3acc2bf9a8a4fb322dd', 'feedback': {'q1': 'Very easy', 'q2': 'More excited than concerned', 'q3': 'Agree', 'q4': 'Very helpful', 'q6': 'Finding an associated word for the first object and moving on from there. ', 'q7': 'I did not', 'sliderValue': '73'}, 'workerId': '6604487bcefa53a1ccd4a684', 'assignmentId': '66c537405ae86318175df4a5', 'ts_submitted_': '2024-08-21T00:48:06.932Z'}"
66bcb3acc2bf9a8a4fb322dd,66c1310dc23f1e2109f166ce,"{'0': {'PageLoad': '2024-08-21T00:41:37.104Z'}, '1': {'FluencyInput': [{'id': 0, 'iid': 0, 'name': 'fried', 'time': '2024-08-21T00:41:40.196Z'}, {'id': 1, 'iid': 1, 'name': 'free', 'time': '2024-08-21T00:41:41.433Z'}, {'id': 2, 'iid': 2, 'name': 'food', 'time': '2024-08-21T00:41:44.122Z'}, {'id': 3, 'iid': 3, 'name': 'fire', 'time': '2024-08-21T00:41:45.425Z'}, {'id': 4, 'iid': 4, 'name': 'fret', 'time': '2024-08-21T00:41:48.514Z'}, {'id': 5, 'iid': 5, 'name': 'fred', 'time': '2024-08-21T00:41:49.415Z'}, {'id': 6, 'iid': 6, 'name': 'fry', 'time': '2024-08-21T00:41:51.519Z'}, {'id': 7, 'iid': 7, 'name': 'foot', 'time': '2024-08-21T00:41:55.340Z'}, {'id': 8, 'iid': 8, 'name': 'feet', 'time': '2024-08-21T00:41:58.253Z'}, {'id': 9, 'iid': 9, 'name': 'focus', 'time': '2024-08-21T00:42:03.213Z'}, {'id': 10, 'iid': 10, 'name': 'fuck', 'time': '2024-08-21T00:42:07.499Z'}, {'id': 11, 'iid': 11, 'name': 'fad', 'time': '2024-08-21T00:42:19.773Z'}, {'id': 12, 'iid': 12, 'name': 'fabric', 'time': '2024-08-21T00:42:21.371Z'}, {'id': 13, 'iid': 13, 'name': 'failure', 'time': '2024-08-21T00:42:22.810Z'}, {'id': 14, 'iid': 14, 'name': 'far', 'time': '2024-08-21T00:42:26.587Z'}, {'id': 15, 'iid': 15, 'name': 'fairy', 'time': '2024-08-21T00:42:27.993Z'}, {'id': 16, 'iid': 16, 'name': 'faith', 'time': '2024-08-21T00:42:31.459Z'}, {'id': 17, 'iid': 17, 'name': 'false', 'time': '2024-08-21T00:42:33.358Z'}, {'id': 18, 'iid': 18, 'name': 'fame', 'time': '2024-08-21T00:42:34.586Z'}, {'id': 19, 'iid': 19, 'name': 'family', 'time': '2024-08-21T00:42:36.213Z'}]}, '2': {'HideTime': 0}, '3': 'absent', '4': {'How Creative?': '50', 'Increased AI use makes you feel': 'Equally excited and concerned'}, '5': {'PageLoad': '2024-08-21T00:42:59.202Z'}, '6': {'Round': 'practice', 'Prompt': 'band', 'onTime': True, 'Response': 'band'}, '7': {'Round': 'practice', 'Prompt': 'blue', 'onTime': True, 'Response': 'blue'}, '8': {'Round': 'practice', 'Prompt': 'blood', 'onTime': True, 'Response': 'blood'}, '9': {'Round': 'test', 'Prompt': 'trap', 'onTime': True, 'Response': 'brown'}, '10': {'HideTime': 0}, 'hitId': '66bcb3acc2bf9a8a4fb322dd', 'feedback': {'q1': 'Somewhat difficult', 'q2': 'Equally excited and concerned', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'thinking', 'q7': 'no', 'sliderValue': '50'}, 'workerId': '66c1310dc23f1e2109f166ce', 'assignmentId': '66c5379246d161429bf005d8', 'ts_submitted_': '2024-08-21T00:48:34.704Z'}"
66bcb3acc2bf9a8a4fb322dd,5ef00061e45c1f1988455df5,"{'0': {'PageLoad': '2024-08-21T00:42:25.676Z'}, '1': {'FluencyInput': [{'id': 0, 'iid': 0, 'name': 'full', 'time': '2024-08-21T00:42:28.665Z'}, {'id': 1, 'iid': 1, 'name': 'food', 'time': '2024-08-21T00:42:29.674Z'}, {'id': 2, 'iid': 2, 'name': 'fun', 'time': '2024-08-21T00:42:31.193Z'}, {'id': 3, 'iid': 3, 'name': 'foot', 'time': '2024-08-21T00:42:32.952Z'}, {'id': 4, 'iid': 4, 'name': 'fool', 'time': '2024-08-21T00:42:34.697Z'}, {'id': 5, 'iid': 5, 'name': 'fine', 'time': '2024-08-21T00:42:38.601Z'}, {'id': 6, 'iid': 6, 'name': 'fume', 'time': '2024-08-21T00:42:40.889Z'}, {'id': 7, 'iid': 7, 'name': 'funeral', 'time': '2024-08-21T00:42:44.681Z'}, {'id': 8, 'iid': 8, 'name': 'fruit', 'time': '2024-08-21T00:42:45.720Z'}, {'id': 9, 'iid': 9, 'name': 'fig', 'time': '2024-08-21T00:42:46.890Z'}, {'id': 10, 'iid': 10, 'name': 'figure', 'time': '2024-08-21T00:42:49.673Z'}, {'id': 11, 'iid': 11, 'name': 'free', 'time': '2024-08-21T00:42:51.545Z'}, {'id': 12, 'iid': 12, 'name': 'freedom', 'time': '2024-08-21T00:42:53.194Z'}, {'id': 13, 'iid': 13, 'name': 'fan', 'time': '2024-08-21T00:42:58.393Z'}, {'id': 14, 'iid': 14, 'name': 'feign', 'time': '2024-08-21T00:43:00.921Z'}, {'id': 15, 'iid': 15, 'name': 'fat', 'time': '2024-08-21T00:43:08.618Z'}, {'id': 16, 'iid': 16, 'name': 'frat', 'time': '2024-08-21T00:43:10.409Z'}, {'id': 17, 'iid': 17, 'name': 'fraternity', 'time': '2024-08-21T00:43:13.560Z'}]}, '2': {'HideTime': 0}, '3': 'coach', '4': {'How Creative?': '34', 'Increased AI use makes you feel': 'Equally excited and concerned'}, '5': {'PageLoad': '2024-08-21T00:43:43.245Z'}, '6': {'Round': 'practice', 'Prompt': 'coat', 'onTime': True, 'Response': 'mink'}, '7': {'Round': 'practice', 'Prompt': 'spider', 'onTime': True, 'Response': 'fool'}, '8': {'Round': 'practice', 'Prompt': 'blue', 'onTime': False, 'Response': 'twitter'}, '9': {'Round': 'test', 'Prompt': 'bank', 'onTime': True, 'Response': 'income'}, '10': {'HideTime': 0}, 'hitId': '66bcb3acc2bf9a8a4fb322dd', 'feedback': {'q1': 'Somewhat easy', 'q2': 'Equally excited and concerned', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'I went with the first word I thought of.', 'q7': 'No.', 'sliderValue': '20'}, 'workerId': '5ef00061e45c1f1988455df5', 'assignmentId': '66c537de59a9db2d390f3efc', 'ts_submitted_': '2024-08-21T00:48:39.980Z'}"
66bcb3acc2bf9a8a4fb322dd,665226461593afe79894c16c,"{'0': {'PageLoad': '2024-08-21T00:41:22.255Z'}, '1': {'FluencyInput': [{'id': 0, 'iid': 0, 'name': 'fake', 'time': '2024-08-21T00:41:28.919Z'}, {'id': 1, 'iid': 1, 'name': '', 'time': '2024-08-21T00:41:31.816Z'}, {'id': 2, 'iid': 2, 'name': 'fossil', 'time': '2024-08-21T00:41:35.203Z'}, {'id': 3, 'iid': 3, 'name': 'fart', 'time': '2024-08-21T00:41:38.433Z'}, {'id': 4, 'iid': 4, 'name': 'flake', 'time': '2024-08-21T00:41:42.999Z'}, {'id': 5, 'iid': 5, 'name': 'fog', 'time': '2024-08-21T00:41:51.937Z'}, {'id': 6, 'iid': 6, 'name': 'front', 'time': '2024-08-21T00:41:56.160Z'}, {'id': 7, 'iid': 7, 'name': 'far', 'time': '2024-08-21T00:41:59.058Z'}, {'id': 8, 'iid': 8, 'name': 'farther', 'time': '2024-08-21T00:42:03.300Z'}, {'id': 9, 'iid': 9, 'name': 'frank', 'time': '2024-08-21T00:42:08.455Z'}, {'id': 10, 'iid': 10, 'name': 'frost', 'time': '2024-08-21T00:42:18.582Z'}, {'id': 11, 'iid': 11, 'name': 'first', 'time': '2024-08-21T00:42:21.485Z'}]}, '2': {'HideTime': 0}, '3': 'generate', '4': {'How Creative?': '68', 'Increased AI use makes you feel': 'More concerned than excited'}, '5': {'PageLoad': '2024-08-21T00:43:11.979Z'}, '6': {'Round': 'practice', 'Prompt': 'band', 'onTime': True, 'Response': 'band'}, '7': {'Round': 'practice', 'Prompt': 'long', 'onTime': True, 'Response': 'long'}, '8': {'Round': 'practice', 'Prompt': 'door', 'onTime': True, 'Response': 'door'}, '9': {'Round': 'test', 'Prompt': 'blood', 'onTime': True, 'Response': 'point'}, '10': {'HideTime': 0}, 'hitId': '66bcb3acc2bf9a8a4fb322dd', 'feedback': {'q1': 'Somewhat difficult', 'q2': 'More concerned than excited', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'thinking of words', 'q7': 'no', 'sliderValue': '73'}, 'workerId': '665226461593afe79894c16c', 'assignmentId': '66c5377a61bfa3df3e12440d', 'ts_submitted_': '2024-08-21T00:48:47.763Z'}"
66bcb3acc2bf9a8a4fb322dd,5e3f04fdb721da159417a725,"{'0': {'PageLoad': '2024-08-21T00:40:58.404Z'}, '1': {'FluencyInput': [{'id': 0, 'iid': 0, 'name': 'fun fall friend family forlorn folk four', 'time': '2024-08-21T00:41:47.074Z'}]}, '2': {'HideTime': 0}, '3': 'absent', '4': {'How Creative?': '55', 'Increased AI use makes you feel': 'More excited than concerned'}, '5': {'PageLoad': '2024-08-21T00:42:59.517Z'}, '6': {'Round': 'practice', 'Prompt': 'coat', 'onTime': True, 'Response': 'coat'}, '7': {'Round': 'practice', 'Prompt': 'spider', 'onTime': True, 'Response': 'spider'}, '8': {'Round': 'practice', 'Prompt': 'day', 'onTime': True, 'Response': 'day'}, '9': {'Round': 'test', 'Prompt': 'band', 'onTime': True, 'Response': 'band'}, '10': {'HideTime': 28.335}, 'hitId': '66bcb3acc2bf9a8a4fb322dd', 'feedback': {'q1': 'Somewhat difficult', 'q2': 'More excited than concerned', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'Just trying my hardest to put something before or after', 'q7': 'none', 'sliderValue': '55'}, 'workerId': '5e3f04fdb721da159417a725', 'assignmentId': '66c537524aa06668f7b5f966', 'ts_submitted_': '2024-08-21T00:48:48.124Z'}"
66bcb3acc2bf9a8a4fb322dd,5ceef64577a506001714c032,"{'0': {'PageLoad': '2024-08-21T00:41:25.959Z'}, '1': {'FluencyInput': [{'id': 0, 'iid': 0, 'name': 'Fool', 'time': '2024-08-21T00:41:37.021Z'}, {'id': 1, 'iid': 1, 'name': 'first', 'time': '2024-08-21T00:41:41.303Z'}, {'id': 2, 'iid': 2, 'name': 'face', 'time': '2024-08-21T00:41:43.611Z'}, {'id': 3, 'iid': 3, 'name': 'fog', 'time': '2024-08-21T00:41:45.900Z'}, {'id': 4, 'iid': 4, 'name': 'flower', 'time': '2024-08-21T00:41:51.309Z'}, {'id': 5, 'iid': 5, 'name': 'flatulent', 'time': '2024-08-21T00:42:03.703Z'}, {'id': 6, 'iid': 6, 'name': 'figure', 'time': '2024-08-21T00:42:08.744Z'}, {'id': 7, 'iid': 7, 'name': 'figurine', 'time': '2024-08-21T00:42:12.688Z'}, {'id': 8, 'iid': 8, 'name': 'first', 'time': '2024-08-21T00:42:16.914Z'}]}, '2': {'HideTime': 0}, '3': 'coach', '4': {'How Creative?': '58', 'Increased AI use makes you feel': 'More concerned than excited'}, '5': {'PageLoad': '2024-08-21T00:43:09.804Z'}, '6': {'Round': 'practice', 'Prompt': 'coat', 'onTime': True, 'Response': 'coat'}, '7': {'Round': 'practice', 'Prompt': 'blood', 'onTime': False, 'Response': 'sore'}, '8': {'Round': 'practice', 'Prompt': 'ball', 'onTime': True, 'Response': 'ball'}, '9': {'Round': 'test', 'Prompt': 'long', 'onTime': True, 'Response': 'hour'}, '10': {'HideTime': 0}, 'hitId': '66bcb3acc2bf9a8a4fb322dd', 'feedback': {'q1': 'Somewhat difficult', 'q2': 'More concerned than excited', 'q3': 'Agree', 'q4': 'Not at all helpful', 'q6': 'no strategy', 'q7': 'no', 'sliderValue': '56'}, 'workerId': '5ceef64577a506001714c032', 'assignmentId': '66c537865fd54e326a2c18f2', 'ts_submitted_': '2024-08-21T00:49:16.166Z'}"
66bcb3acc2bf9a8a4fb322dd,5b2973a08c745200013b84ae,"{'0': {'PageLoad': '2024-08-21T00:41:40.264Z'}, '1': {'FluencyInput': [{'id': 0, 'iid': 0, 'name': 'furniture', 'time': '2024-08-21T00:42:05.836Z'}, {'id': 1, 'iid': 1, 'name': 'floor', 'time': '2024-08-21T00:42:14.058Z'}, {'id': 2, 'iid': 2, 'name': 'freezer', 'time': '2024-08-21T00:42:24.173Z'}, {'id': 3, 'iid': 3, 'name': 'fridge', 'time': '2024-08-21T00:42:33.055Z'}]}, '2': {'HideTime': 0}, '3': 'coach', '4': {'How Creative?': '20', 'Increased AI use makes you feel': 'More concerned than excited'}, '5': {'PageLoad': '2024-08-21T00:43:59.025Z'}, '6': {'Round': 'practice', 'Prompt': 'trap', 'onTime': True, 'Response': 'trap'}, '7': {'Round': 'practice', 'Prompt': 'ball', 'onTime': True, 'Response': 'ball'}, '8': {'Round': 'practice', 'Prompt': 'spider', 'onTime': False, 'Response': 'black'}, '9': {'Round': 'test', 'Prompt': 'gold', 'onTime': True, 'Response': 'gold'}, '10': {'HideTime': 0}, 'hitId': '66bcb3acc2bf9a8a4fb322dd', 'feedback': {'q1': 'Very easy', 'q2': 'More concerned than excited', 'q3': 'Agree', 'q4': 'A little helpful', 'q6': 'tried to find a wotd that linked the others', 'q7': 'no', 'sliderValue': '20'}, 'workerId': '5b2973a08c745200013b84ae', 'assignmentId': '66c5377990243da912682772', 'ts_submitted_': '2024-08-21T00:50:02.771Z'}"
66bcb3acc2bf9a8a4fb322dd,66958688126ae60131512012,"{'0': {'PageLoad': '2024-08-21T00:42:20.510Z'}, '1': {'FluencyInput': [{'id': 0, 'iid': 0, 'name': 'Fun', 'time': '2024-08-21T00:42:24.409Z'}, {'id': 1, 'iid': 1, 'name': 'Fish', 'time': '2024-08-21T00:42:29.080Z'}, {'id': 2, 'iid': 2, 'name': 'Fuck', 'time': '2024-08-21T00:42:33.288Z'}, {'id': 3, 'iid': 3, 'name': 'Funny', 'time': '2024-08-21T00:42:36.296Z'}, {'id': 4, 'iid': 4, 'name': 'Fishy', 'time': '2024-08-21T00:42:38.616Z'}, {'id': 5, 'iid': 5, 'name': 'Frank', 'time': '2024-08-21T00:42:42.359Z'}, {'id': 6, 'iid': 6, 'name': 'Food', 'time': '2024-08-21T00:42:56.470Z'}, {'id': 7, 'iid': 7, 'name': 'Fishing', 'time': '2024-08-21T00:43:12.708Z'}, {'id': 8, 'iid': 8, 'name': 'Fishing', 'time': '2024-08-21T00:43:16.468Z'}]}, '2': {'HideTime': 0}, '3': 'absent', '4': {'How Creative?': '34', 'Increased AI use makes you feel': 'More concerned than excited'}, '5': {'PageLoad': '2024-08-21T00:43:42.862Z'}, '6': {'Round': 'practice', 'Prompt': 'coat', 'onTime': True, 'Response': 'Spin'}, '7': {'Round': 'practice', 'Prompt': 'gold', 'onTime': True, 'Response': 'Meat'}, '8': {'Round': 'practice', 'Prompt': 'door', 'onTime': True, 'Response': 'Light'}, '9': {'Round': 'test', 'Prompt': 'spider', 'onTime': True, 'Response': 'teeth'}, '10': {'HideTime': 0}, 'hitId': '66bcb3acc2bf9a8a4fb322dd', 'feedback': {'q1': 'Somewhat difficult', 'q2': 'More concerned than excited', 'q3': 'Agree', 'q4': 'Very helpful', 'q6': 'None', 'q7': 'Nope', 'sliderValue': '37'}, 'workerId': '66958688126ae60131512012', 'assignmentId': '66c537d373fb365951198f50', 'ts_submitted_': '2024-08-21T00:49:24.727Z'}"
