workerid,hitId,condition,phase,item_name,response,onTime
5d41ff88146fcc001a139150,66bcb3acc2bf9a8a4fb322dd,absent,practice,space,space,True
5d41ff88146fcc001a139150,66bcb3acc2bf9a8a4fb322dd,absent,practice,bank,bank,True
5d41ff88146fcc001a139150,66bcb3acc2bf9a8a4fb322dd,absent,practice,long,long,False
5d41ff88146fcc001a139150,66bcb3acc2bf9a8a4fb322dd,absent,test,band,band,True
668d822d705c807ed4664ae1,66bcb3acc2bf9a8a4fb322dd,generate,practice,spider,Spider,True
668d822d705c807ed4664ae1,66bcb3acc2bf9a8a4fb322dd,generate,practice,day,Day,True
668d822d705c807ed4664ae1,66bcb3acc2bf9a8a4fb322dd,generate,practice,door,Door,True
668d822d705c807ed4664ae1,66bcb3acc2bf9a8a4fb322dd,generate,test,snow,Phone,True
6604487bcefa53a1ccd4a684,66bcb3acc2bf9a8a4fb322dd,generate,practice,bar,Bar,True
6604487bcefa53a1ccd4a684,66bcb3acc2bf9a8a4fb322dd,generate,practice,bank,Bank,True
6604487bcefa53a1ccd4a684,66bcb3acc2bf9a8a4fb322dd,generate,practice,long,Long,True
6604487bcefa53a1ccd4a684,66bcb3acc2bf9a8a4fb322dd,generate,test,coat,Coat,True
66c1310dc23f1e2109f166ce,66bcb3acc2bf9a8a4fb322dd,absent,practice,band,band,True
66c1310dc23f1e2109f166ce,66bcb3acc2bf9a8a4fb322dd,absent,practice,blue,blue,True
66c1310dc23f1e2109f166ce,66bcb3acc2bf9a8a4fb322dd,absent,practice,blood,blood,True
66c1310dc23f1e2109f166ce,66bcb3acc2bf9a8a4fb322dd,absent,test,trap,brown,True
5ef00061e45c1f1988455df5,66bcb3acc2bf9a8a4fb322dd,coach,practice,coat,mink,True
5ef00061e45c1f1988455df5,66bcb3acc2bf9a8a4fb322dd,coach,practice,spider,fool,True
5ef00061e45c1f1988455df5,66bcb3acc2bf9a8a4fb322dd,coach,practice,blue,twitter,False
5ef00061e45c1f1988455df5,66bcb3acc2bf9a8a4fb322dd,coach,test,bank,income,True
665226461593afe79894c16c,66bcb3acc2bf9a8a4fb322dd,generate,practice,band,band,True
665226461593afe79894c16c,66bcb3acc2bf9a8a4fb322dd,generate,practice,long,long,True
665226461593afe79894c16c,66bcb3acc2bf9a8a4fb322dd,generate,practice,door,door,True
665226461593afe79894c16c,66bcb3acc2bf9a8a4fb322dd,generate,test,blood,point,True
5e3f04fdb721da159417a725,66bcb3acc2bf9a8a4fb322dd,absent,practice,coat,coat,True
5e3f04fdb721da159417a725,66bcb3acc2bf9a8a4fb322dd,absent,practice,spider,spider,True
5e3f04fdb721da159417a725,66bcb3acc2bf9a8a4fb322dd,absent,practice,day,day,True
5e3f04fdb721da159417a725,66bcb3acc2bf9a8a4fb322dd,absent,test,band,band,True
5ceef64577a506001714c032,66bcb3acc2bf9a8a4fb322dd,coach,practice,coat,coat,True
5ceef64577a506001714c032,66bcb3acc2bf9a8a4fb322dd,coach,practice,blood,sore,False
5ceef64577a506001714c032,66bcb3acc2bf9a8a4fb322dd,coach,practice,ball,ball,True
5ceef64577a506001714c032,66bcb3acc2bf9a8a4fb322dd,coach,test,long,hour,True
5b2973a08c745200013b84ae,66bcb3acc2bf9a8a4fb322dd,coach,practice,trap,trap,True
5b2973a08c745200013b84ae,66bcb3acc2bf9a8a4fb322dd,coach,practice,ball,ball,True
5b2973a08c745200013b84ae,66bcb3acc2bf9a8a4fb322dd,coach,practice,spider,black,False
5b2973a08c745200013b84ae,66bcb3acc2bf9a8a4fb322dd,coach,test,gold,gold,True
66958688126ae60131512012,66bcb3acc2bf9a8a4fb322dd,absent,practice,coat,Spin,True
66958688126ae60131512012,66bcb3acc2bf9a8a4fb322dd,absent,practice,gold,Meat,True
66958688126ae60131512012,66bcb3acc2bf9a8a4fb322dd,absent,practice,door,Light,True
66958688126ae60131512012,66bcb3acc2bf9a8a4fb322dd,absent,test,spider,teeth,True
66b14d28b85cfe52279f0aa5,66bcb3acc2bf9a8a4fb322dd,generate,practice,trap,trap,True
66b14d28b85cfe52279f0aa5,66bcb3acc2bf9a8a4fb322dd,generate,practice,long,band,True
66b14d28b85cfe52279f0aa5,66bcb3acc2bf9a8a4fb322dd,generate,practice,spider,spider,True
66b14d28b85cfe52279f0aa5,66bcb3acc2bf9a8a4fb322dd,generate,test,coat,beaver,True
61508722f5076c1a0ea2062b,66bcb3acc2bf9a8a4fb322dd,coach,practice,band,band,True
61508722f5076c1a0ea2062b,66bcb3acc2bf9a8a4fb322dd,coach,practice,long,length,True
61508722f5076c1a0ea2062b,66bcb3acc2bf9a8a4fb322dd,coach,practice,trap,trap,True
61508722f5076c1a0ea2062b,66bcb3acc2bf9a8a4fb322dd,coach,test,day,day,True
