workerid,hitId,condition,How Creative?-1,Increased AI use makes you feel-1,q1,q2,q3,q4,Hide Time,Page Load,q6,q7,How Creative?-2
65cb605ecaa971e945546b63,66bcb3acc2bf9a8a4fb322dd,absent,35,More concerned than excited,Very difficult,More concerned than excited,Agree,Not at all helpful,0,2024-08-14T22:47:17.208Z,no strategu,no,6
665a0b65c7e70e48ff7f2188,66bcb3acc2bf9a8a4fb322dd,coach,44,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0,2024-08-14T22:46:15.863Z,thinking of words that link the three words .,no .,41
5e73ed268c8f27364de746c5,66bcb3acc2bf9a8a4fb322dd,absent,16,More excited than concerned,Somewhat difficult,More excited than concerned,Agree,A little helpful,0,2024-08-14T22:49:53.063Z,Trying to find a word that fitted with all of the words,No,8
66b56fb7e630a6807aafcf31,66bcb3acc2bf9a8a4fb322dd,absent,58,More concerned than excited,Somewhat difficult,Equally excited and concerned,Agree,Very helpful,1.074,2024-08-14T22:47:48.620Z,I FORMED A SHORT SENTENCE BEFORE CONSIDERING THE WORD,NONE,71
62b072828cfef4de9971753b,66bcb3acc2bf9a8a4fb322dd,generate,24,Equally excited and concerned,Very difficult,Equally excited and concerned,Agree,A little helpful,0,2024-08-14T22:50:14.914Z,Keep saying all the words until something came up,None,20
66bbb0dda9cc4e6ef4b3e1e6,66bcb3acc2bf9a8a4fb322dd,coach,86,More concerned than excited,Somewhat difficult,More excited than concerned,Agree,A little helpful,0,2024-08-14T22:51:02.615Z,I imagined them in my head and then it was easier to come with a solution,nope,52
657d19e9624566442ebc112f,66bcb3acc2bf9a8a4fb322dd,coach,60,More concerned than excited,Very difficult,More concerned than excited,Agree,A little helpful,0,2024-08-14T22:49:01.632Z,My strategy was trying to say words that could fit the three words,no,20
6696be83d1acdaafee806dae,66bcb3acc2bf9a8a4fb322dd,generate,52,More concerned than excited,Very difficult,More concerned than excited,Agree,Not at all helpful,0,2024-08-14T22:50:21.373Z,TRIED TO MATCH ALL THREE WORDS,NO,10
6041090425e6e2086a2ba82d,66bcb3acc2bf9a8a4fb322dd,generate,20,More concerned than excited,Very difficult,Equally excited and concerned,Agree,Very helpful,0,2024-08-14T22:50:12.409Z,i had to say the word aloud to think of associations,no,20
63287e459b46ae4db8542e9d,66bcb3acc2bf9a8a4fb322dd,coach,30,More concerned than excited,Very difficult,More concerned than excited,Agree,Very helpful,6.983,2024-08-14T22:50:17.309Z,"Fire is light and bright
Stick may have something on it
Candle Stick
As the flame of the candle is light",No,20
63a3375101319bb7cb39f654,66bcb3acc2bf9a8a4fb322dd,absent,52,More excited than concerned,Somewhat difficult,More excited than concerned,Agree,A little helpful,0,2024-08-14T22:51:41.549Z,finding a match with two words,no,31
57d02eeec6c5ed00013fac58,66bcb3acc2bf9a8a4fb322dd,coach,27,More concerned than excited,Very easy,More concerned than excited,Agree,A little helpful,0,2024-08-14T22:52:32.877Z,Something that matched with all the words,no,29
60fd7e8ba4ce504c0ad86690,66bcb3acc2bf9a8a4fb322dd,generate,30,Equally excited and concerned,Somewhat easy,Equally excited and concerned,Agree,A little helpful,0,2024-08-14T22:51:33.444Z,"I don't think I had a strategy, I read the words and the answer come up in my head.",No,20
66bcb38a6dd5be8472069812,66bcb3acc2bf9a8a4fb322dd,absent,56,Equally excited and concerned,Very difficult,Equally excited and concerned,Agree,A little helpful,0,2024-08-14T22:53:00.105Z,"Trying to think of what came to mind first, and if that fit each one.",Not at all.,27
63e51bb5c20b885de5559a6a,66bcb3acc2bf9a8a4fb322dd,coach,53,Equally excited and concerned,Very easy,Equally excited and concerned,Agree,Very helpful,0,2024-08-14T22:53:08.820Z,"I read the words and focused on birthday, really.",None,61
5a4d5282c64cfe00011ca483,66bcb3acc2bf9a8a4fb322dd,generate,100,More concerned than excited,Somewhat difficult,More concerned than excited,Agree,A little helpful,0,2024-08-14T22:55:25.185Z,I was just thinking of different words that would go,No,100
66ba9770b75c648d933115dd,66bcb3acc2bf9a8a4fb322dd,absent,80,More concerned than excited,Somewhat difficult,More excited than concerned,Agree,A little helpful,0,2024-08-14T22:52:49.109Z,i was using items around me to complete the task,everything was fine,80
666b002b5f3a246f3c2cee76,66bcb3acc2bf9a8a4fb322dd,absent,60,Equally excited and concerned,Very difficult,Equally excited and concerned,Agree,Very helpful,0,2024-08-14T22:53:03.981Z,Looking at one word at a time and thinking about words that compound/connect with that specific word and then seeing if it could also be applied to the other words.,No,60
66bb5a8abf79a4703261ac7f,66bcb3acc2bf9a8a4fb322dd,coach,100,Equally excited and concerned,Somewhat difficult,More concerned than excited,Agree,A little helpful,0,2024-08-14T22:54:18.928Z,sinonyms,no any technical issues,100
62ace174fdaa82e4ff8e5c3e,66bcb3acc2bf9a8a4fb322dd,absent,58,More concerned than excited,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0,2024-08-14T22:48:34.631Z,Just thinking what I know of,No,58
5d41ff88146fcc001a139150,66bcb3acc2bf9a8a4fb322dd,absent,60,More excited than concerned,Very easy,More excited than concerned,Agree,Very helpful,0,2024-08-21T00:41:00.353Z,No strategy involved. It just came to me.,none,60
668d822d705c807ed4664ae1,66bcb3acc2bf9a8a4fb322dd,generate,68,More excited than concerned,Very difficult,More excited than concerned,Agree,Not at all helpful,0,2024-08-21T00:39:25.781Z,Try to think what fit for all 3,No,23
6604487bcefa53a1ccd4a684,66bcb3acc2bf9a8a4fb322dd,generate,71,More excited than concerned,Very easy,More excited than concerned,Agree,Very helpful,0,2024-08-21T00:40:33.444Z,Finding an associated word for the first object and moving on from there.,I did not,73
66c1310dc23f1e2109f166ce,66bcb3acc2bf9a8a4fb322dd,absent,50,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,Agree,A little helpful,0,2024-08-21T00:41:37.104Z,thinking,no,50
