workerid,hitId,condition,phase,item_name,response,onTime,is_correct
65cb605ecaa971e945546b63,66bcb3acc2bf9a8a4fb322dd,absent,practice,blue,cream,True,False
65cb605ecaa971e945546b63,66bcb3acc2bf9a8a4fb322dd,absent,practice,candle,candle,True,True
65cb605ecaa971e945546b63,66bcb3acc2bf9a8a4fb322dd,absent,practice,door,black,True,False
65cb605ecaa971e945546b63,66bcb3acc2bf9a8a4fb322dd,absent,test,pit,black,True,False
665a0b65c7e70e48ff7f2188,66bcb3acc2bf9a8a4fb322dd,coach,practice,candle,candle,True,True
665a0b65c7e70e48ff7f2188,66bcb3acc2bf9a8a4fb322dd,coach,practice,pit,car,False,False
665a0b65c7e70e48ff7f2188,66bcb3acc2bf9a8a4fb322dd,coach,practice,blue,blue,True,True
665a0b65c7e70e48ff7f2188,66bcb3acc2bf9a8a4fb322dd,coach,test,door,sun,True,False
5e73ed268c8f27364de746c5,66bcb3acc2bf9a8a4fb322dd,absent,practice,pit,Black,True,False
5e73ed268c8f27364de746c5,66bcb3acc2bf9a8a4fb322dd,absent,practice,candle,Cake,True,False
5e73ed268c8f27364de746c5,66bcb3acc2bf9a8a4fb322dd,absent,practice,door,Door,True,True
5e73ed268c8f27364de746c5,66bcb3acc2bf9a8a4fb322dd,absent,test,blue,Black,True,False
66b56fb7e630a6807aafcf31,66bcb3acc2bf9a8a4fb322dd,absent,practice,blue,BLUE,True,True
66b56fb7e630a6807aafcf31,66bcb3acc2bf9a8a4fb322dd,absent,practice,pit,HEAVY,False,False
66b56fb7e630a6807aafcf31,66bcb3acc2bf9a8a4fb322dd,absent,practice,candle,JOY,True,False
66b56fb7e630a6807aafcf31,66bcb3acc2bf9a8a4fb322dd,absent,test,door,BAD,True,False
62b072828cfef4de9971753b,66bcb3acc2bf9a8a4fb322dd,generate,practice,candle,candle light,True,False
62b072828cfef4de9971753b,66bcb3acc2bf9a8a4fb322dd,generate,practice,door,door,True,True
62b072828cfef4de9971753b,66bcb3acc2bf9a8a4fb322dd,generate,practice,blue,blue,True,True
62b072828cfef4de9971753b,66bcb3acc2bf9a8a4fb322dd,generate,test,pit,squeeze,True,False
66bbb0dda9cc4e6ef4b3e1e6,66bcb3acc2bf9a8a4fb322dd,coach,practice,door,catch,True,False
66bbb0dda9cc4e6ef4b3e1e6,66bcb3acc2bf9a8a4fb322dd,coach,practice,pit,construction,True,False
66bbb0dda9cc4e6ef4b3e1e6,66bcb3acc2bf9a8a4fb322dd,coach,practice,blue,flower,True,False
66bbb0dda9cc4e6ef4b3e1e6,66bcb3acc2bf9a8a4fb322dd,coach,test,candle,candle,True,True
657d19e9624566442ebc112f,66bcb3acc2bf9a8a4fb322dd,coach,practice,candle,event,False,False
657d19e9624566442ebc112f,66bcb3acc2bf9a8a4fb322dd,coach,practice,door,support,True,False
657d19e9624566442ebc112f,66bcb3acc2bf9a8a4fb322dd,coach,practice,pit,tear,False,False
657d19e9624566442ebc112f,66bcb3acc2bf9a8a4fb322dd,coach,test,blue,sweet,True,False
6696be83d1acdaafee806dae,66bcb3acc2bf9a8a4fb322dd,generate,practice,pit,PIT,True,True
6696be83d1acdaafee806dae,66bcb3acc2bf9a8a4fb322dd,generate,practice,blue,BLUE,True,True
6696be83d1acdaafee806dae,66bcb3acc2bf9a8a4fb322dd,generate,practice,door,PORCH,True,False
6696be83d1acdaafee806dae,66bcb3acc2bf9a8a4fb322dd,generate,test,candle,CAKE,True,False
6041090425e6e2086a2ba82d,66bcb3acc2bf9a8a4fb322dd,generate,practice,candle,candle,True,True
6041090425e6e2086a2ba82d,66bcb3acc2bf9a8a4fb322dd,generate,practice,door,door,True,True
6041090425e6e2086a2ba82d,66bcb3acc2bf9a8a4fb322dd,generate,practice,blue,blue,True,True
6041090425e6e2086a2ba82d,66bcb3acc2bf9a8a4fb322dd,generate,test,pit,pit,True,True
63287e459b46ae4db8542e9d,66bcb3acc2bf9a8a4fb322dd,coach,practice,blue,blueberry,True,False
63287e459b46ae4db8542e9d,66bcb3acc2bf9a8a4fb322dd,coach,practice,door,backdoor,True,False
63287e459b46ae4db8542e9d,66bcb3acc2bf9a8a4fb322dd,coach,practice,pit,no idea,True,False
63287e459b46ae4db8542e9d,66bcb3acc2bf9a8a4fb322dd,coach,test,candle,Candlestick,True,False
63a3375101319bb7cb39f654,66bcb3acc2bf9a8a4fb322dd,absent,practice,pit,band,True,False
63a3375101319bb7cb39f654,66bcb3acc2bf9a8a4fb322dd,absent,practice,candle,bulb,True,False
63a3375101319bb7cb39f654,66bcb3acc2bf9a8a4fb322dd,absent,practice,blue,seed,True,False
63a3375101319bb7cb39f654,66bcb3acc2bf9a8a4fb322dd,absent,test,door,drop,True,False
57d02eeec6c5ed00013fac58,66bcb3acc2bf9a8a4fb322dd,coach,practice,pit,black,True,False
57d02eeec6c5ed00013fac58,66bcb3acc2bf9a8a4fb322dd,coach,practice,door,flat,True,False
